variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.6562	1.2486	6.7708	1.8901	-0.493	0.62257	0.67046	6.7812	1.5221	6.6458	1.6769	0.5828	0.56071	0.91242
log10_word_frequency_sdewac	3.021	0.5798	2.9882	0.6603	0.3632	0.71687	0.71687	3.04	0.5964	2.9692	0.6439	0.7862	0.43274	0.86547
word_average_bigram_frequency	26968420.0391	16712579.9397	24289508.3802	17068972.2606	1.093	0.27577	0.48259	25520061.8524	16761049.6099	25737866.5669	17125767.797	-0.0886	0.9295	0.97
word_average_trigram_frequency	2375483.3718	2335072.7613	2092518.4988	2391966.3008	0.8251	0.41037	0.53042	2240470.5706	2098974.0029	2227531.2999	2609277.0201	0.0377	0.97	0.97
old20_score	2.7146	0.7464	2.9125	1.001	-1.5449	0.12404	0.31333	2.8323	0.8175	2.7948	0.9538	0.291	0.7714	0.91242
predicted_concreteness	1.5196	0.3854	1.5755	0.623	-0.7431	0.45833	0.53472	1.492	0.494	1.6031	0.5367	-1.4852	0.13916	0.38965
predicted_visual	0.8654	0.7734	0.2354	1.0584	4.6842	1e-05	4e-05	0.7567	0.8766	0.3441	1.0311	2.9718	0.00334	0.0156
predicted_gustatory	0.5741	1.9064	-0.1926	0.7083	3.6747	0.00031	0.00145	0.1428	1.0699	0.2387	1.8113	-0.4444	0.65729	0.91242
predicted_olfactory	0.5437	1.6021	0.2636	0.8534	1.5038	0.13429	0.31333	0.6324	0.9866	0.175	1.5021	2.4806	0.01398	0.04895
predicted_auditory	-1.1289	0.7392	1.0626	0.7883	-19.7657	0.0	0.0	-0.1129	1.2415	0.0466	1.4195	-0.8246	0.41062	0.86547
predicted_hand	0.5504	1.221	0.3827	1.2828	0.9229	0.35721	0.53042	-0.4656	0.6196	1.3987	1.0143	-15.2875	0.0	0.0
predicted_valence	0.4255	0.744	0.339	0.7218	0.8138	0.41676	0.53042	0.397	0.6856	0.3675	0.7796	0.277	0.78207	0.91242
predicted_arousal	-0.2434	1.0268	0.2315	1.0273	-3.1868	0.00168	0.00589	0.0304	1.0757	-0.0424	1.0309	0.4759	0.63467	0.91242
predicted_dominance	0.2247	0.7487	0.0705	0.7742	1.3953	0.16454	0.32908	-0.0442	0.7814	0.3394	0.6983	-3.5678	0.00046	0.00319
