variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.8021	1.2716	6.6354	1.8771	0.7165	0.47457	0.60399	6.5729	1.5052	6.8646	1.6871	-1.2574	0.21016	0.53814
log10_word_frequency_sdewac	2.9219	0.5319	3.0486	0.6269	-1.5018	0.13482	0.26963	2.9857	0.5173	2.9848	0.6452	0.0108	0.99138	0.99138
word_average_bigram_frequency	25273665.9167	15607936.0442	23955819.8914	15146069.0579	0.5906	0.55549	0.64807	24974119.0834	16327724.6661	24255366.7246	14388416.8445	0.3219	0.74788	0.80585
word_average_trigram_frequency	2903538.9918	3213129.6047	2305672.2285	2805368.3918	1.3662	0.17351	0.30364	2492850.3822	2527077.2302	2716360.8381	3458600.615	-0.5086	0.61163	0.80585
old20_score	2.8182	0.7357	2.8302	0.9769	-0.0955	0.92404	0.92404	2.7688	0.7656	2.8797	0.9505	-0.8859	0.37676	0.65934
predicted_concreteness	1.5442	0.4128	1.6077	0.6107	-0.8397	0.40212	0.56297	1.5882	0.5049	1.5638	0.5388	0.3214	0.74829	0.80585
predicted_visual	0.9985	0.9132	0.273	1.0626	5.0473	0.0	1e-05	0.7894	0.9379	0.4821	1.1399	2.0285	0.0439	0.20488
predicted_gustatory	0.6739	1.8048	-0.3123	0.861	4.8069	0.0	1e-05	0.0507	1.0351	0.311	1.8384	-1.2026	0.23063	0.53814
predicted_olfactory	0.717	1.6664	0.0242	0.8909	3.5734	0.00045	0.00125	0.4695	1.0561	0.2717	1.6357	0.9904	0.32326	0.64652
predicted_auditory	-1.2218	0.6843	1.04	0.8107	-20.7789	0.0	0.0	-0.0467	1.2128	-0.1351	1.4861	0.4494	0.65364	0.80585
predicted_hand	0.5345	1.2584	0.4454	1.397	0.4619	0.64471	0.6943	-0.5437	0.6979	1.5236	0.9566	-17.0164	0.0	0.0
predicted_valence	0.4153	0.8241	0.2999	0.7027	1.0392	0.30005	0.46674	0.3981	0.7274	0.3171	0.8045	0.7287	0.46709	0.72659
predicted_arousal	-0.3941	0.96	0.0961	0.8712	-3.686	0.0003	0.00104	-0.2598	0.9436	-0.0382	0.9411	-1.6204	0.10681	0.37383
predicted_dominance	0.2498	0.8151	0.0723	0.6126	1.6962	0.09148	0.21346	-0.004	0.6461	0.326	0.7638	-3.2151	0.00153	0.01073
