word	category
Fontäne	lowA
Vorstadt	lowA
Weinstock	lowA
Abzeichen	lowA
Friedhof	lowA
Waschbär	lowA
Torbogen	lowA
Wachturm	lowA
Flunder	lowA
Ameise	lowA
Gestein	lowA
Reflektor	lowA
Maulwurf	lowA
Dachrinne	lowA
Schlange	lowA
Flamingo	lowA
Gipfel	lowA
Leitplanke	lowA
Streifen	lowA
Eichel	lowA
Laubblatt	lowA
Tempel	lowA
Chamäleon	lowA
Koala	lowA
Sandhügel	lowA
Biber	lowA
Fadenwurm	lowA
Sarkophag	lowA
Beuteltier	lowA
Felsblock	lowA
Säule	lowA
Nelke	lowA
Kamel	lowA
Meeresgrund	lowA
Fleck	lowA
Rille	lowA
Rinde	lowA
Höhle	lowA
Regenrinne	lowA
Raupe	lowA
Narbe	lowA
Stamm	lowA
Felsspalte	lowA
Hügel	lowA
Turmspitze	lowA
Kreuz	lowA
Nessel	lowA
Kieselstein	lowA
Zigarre	highA
Baseball	highA
Spritze	highA
Konsole	highA
Spielzeug	highA
Traktor	highA
Bekleidung	highA
Schnalle	highA
Puzzle	highA
Werkzeug	highA
Bandage	highA
Bleistift	highA
Bürste	highA
Sticker	highA
Waffel	highA
Kuvert	highA
Bügeleisen	highA
Verpackung	highA
Feuerholz	highA
Waschlappen	highA
Hocker	highA
Schrank	highA
Zahnpaste	highA
Lesezeichen	highA
Ordner	highA
Notizbuch	highA
Pinsel	highA
Reifen	highA
Schultasche	highA
Stichsäge	highA
Spatel	highA
Locher	highA
Bettwäsche	highA
Lanze	highA
Feuerwaffe	highA
Hefter	highA
Sessel	highA
Sprengstoff	highA
Garn	highA
Truck	highA
Möbel	highA
Steigbügel	highA
Feile	highA
Sieb	highA
Unterwäsche	highA
Brechstange	highA
Kanu	highA
Nadel	highA
Hornhaut	lowS
Sediment	lowS
Kalkstein	lowS
Gletscher	lowS
Portrait	lowS
Farbstoff	lowS
Sandstein	lowS
Vorraum	lowS
Weinstock	lowS
Vitrine	lowS
Bakterium	lowS
Friedhof	lowS
Skulptur	lowS
Torbogen	lowS
Teleskop	lowS
Schatulle	lowS
Erdkugel	lowS
Altarbild	lowS
Margerite	lowS
Bekleidung	lowS
Container	lowS
Gerinnsel	lowS
Sonnentau	lowS
Shampoo	lowS
Serviette	lowS
Schuhwerk	lowS
Armlehne	lowS
Reflektor	lowS
Wegweiser	lowS
Puzzle	lowS
Umzäunung	lowS
Pipette	lowS
Pflanze	lowS
Bandage	lowS
Bleistift	lowS
Klebstoff	lowS
Fassade	lowS
Garnele	lowS
Dachrinne	lowS
Steinbutt	lowS
Sticker	lowS
Geldbörse	lowS
Bindfaden	lowS
Gemälde	lowS
Abbild	lowS
Morast	lowS
Kuvert	lowS
Flieder	lowS
Kleinbus	highS
Metronom	highS
Telefax	highS
Toaster	highS
Traktor	highS
Bratsche	highS
Lastwagen	highS
Piepser	highS
Roboter	highS
Aufzug	highS
Sporthalle	highS
Verstärker	highS
Bagger	highS
Feuerwaffe	highS
Fräse	highS
Schwein	highS
Sprengstoff	highS
Truck	highS
Zugmaschine	highS
Sägemühle	highS
Fiedel	highS
Feuerstätte	highS
Pauke	highS
Biene	highS
Lautsprecher	highS
Wecker	highS
Schauspieler	highS
Oboe	highS
Nachtigall	highS
Krankenwagen	highS
Staubsauger	highS
Fön	highS
Mähdrescher	highS
Hubschrauber	highS
Kuhglocke	highS
Orgel	highS
Taxi	highS
Laute	highS
Schlagstock	highS
Luftfahrzeug	highS
Axt	highS
Bär	highS
Meer	highS
Notarztwagen	highS
Zug	highS
Gabelstapler	highS
Bach	highS
Wellensittich	highS
