variable	low_sound_T	low_sound_p_raw	low_sound_p_corrected	high_sound_T	high_sound_p_raw	high_sound_p_corrected	low_action_T	low_action_p_raw	low_action_p_corrected	high_action_T	high_action_p_raw	high_action_p_corrected
word_length	-0.7198	0.47285	0.79241	-1.49	0.13844	0.73572	-0.811	0.41872	0.98638	-1.4663	0.14479	0.68235
log10_word_frequency_sdewac	0.6649	0.50716	0.79241	0.1463	0.88388	0.88388	0.0764	0.93921	0.98638	0.6301	0.52961	0.77882
word_average_bigram_frequency	1.3906	0.16653	0.79241	-1.0498	0.29561	0.73572	-1.2666	0.20738	0.98638	1.6875	0.0937	0.68235
word_average_trigram_frequency	1.2436	0.21569	0.79241	-0.307	0.75928	0.81768	-0.0171	0.98638	0.98638	1.251	0.213	0.68235
old20_score	-0.728	0.4678	0.79241	-1.1622	0.24709	0.73572	-0.9097	0.36452	0.98638	-1.0043	0.31697	0.68235
predicted_concreteness	-0.0316	0.97486	0.97486	0.3402	0.7342	0.81768	0.4714	0.6381	0.98638	-0.0838	0.9333	0.96988
predicted_visual	-0.4769	0.63419	0.88787	-0.6659	0.50654	0.81768	-0.5839	0.56021	0.98638	-0.5352	0.59335	0.77882
predicted_gustatory	0.0791	0.93707	0.97486	-1.1027	0.27203	0.73572	-0.6685	0.50492	0.98638	-0.0378	0.96988	0.96988
predicted_olfactory	-0.0479	0.96183	0.97486	-0.3401	0.7343	0.81768	-0.1765	0.86013	0.98638	-0.1276	0.89862	0.96988
predicted_auditory	-0.9504	0.34354	0.79241	-0.6213	0.53539	0.81768	-0.3241	0.74636	0.98638	-0.5084	0.61193	0.77882
predicted_hand	0.8714	0.38501	0.79241	-1.0077	0.31531	0.73572	1.26	0.20974	0.98638	-1.0036	0.31729	0.68235
predicted_valence	0.6614	0.50941	0.79241	0.3681	0.71336	0.81768	-0.0414	0.967	0.98638	1.0397	0.30022	0.68235
predicted_arousal	0.8275	0.40935	0.79241	-2.1635	0.03218	0.45049	-0.304	0.76157	0.98638	-0.9551	0.34117	0.68235
predicted_dominance	0.3374	0.73631	0.93712	0.5696	0.56982	0.81768	0.1831	0.85495	0.98638	0.7245	0.46998	0.77882
