('action_bottom', 'auditory_top')	('action_top', 'auditory_top')	('action_bottom', 'auditory_bottom')	('action_top', 'auditory_bottom')	average_similarity	average_std
Bauchredner	Schlagstock	Wasserkopf	Fausthieb	0.856554189701945	0.07653104379026451	
Würger	Schlagstock	Wasserkopf	Fausthieb	0.8544919395366147	0.1034379302730261	
Aufzug	Tanz	Fackel	Ball	0.8475938866190386	0.040442258263443685	
Megaphon	Fußtritt	Brustwarze	Karabiner	0.8434094363355689	0.09338199928997086	
Pfiff	Tanz	Ikone	Kicks	0.8433616059674419	0.023910475702774388	
Clown	Schlagstock	Schädel	Spitzhacke	0.84129075348745	0.07001846537506767	
Protestler	Anschlag	Unterleib	Widerhaken	0.840986914006116	0.08202604359708969	
Clown	Schlagstock	Turban	Strick	0.8401529511917184	0.07865622455271265	
Tonband	Klaviatur	Brustwehr	Keilriemen	0.838897482525792	0.06988172473611962	
Aufschrei	Anschlag	Kaliber	Widerhaken	0.8382626562612047	0.06724599973799367	
Clown	Schlagstock	Wasserkopf	Spitzhacke	0.8374547695910227	0.13282928371633704	
Bauchredner	Schlagstock	Wasserkopf	Spitzhacke	0.8369207087070697	0.06515558540381955	
Ohrenzeuge	Schlagstock	Pulsader	Lidschlag	0.8367180448878403	0.0704768553774929	
Bombenleger	Fußtritt	Unterleib	Widerhaken	0.8362751540672831	0.06552734738144317	
Amokläufer	Anschlag	Hexenschuß	Widerhaken	0.8316150071197059	0.07772670970162955	
Protestler	Anschlag	Auswuchs	Abrollen	0.8311235857925178	0.0837814554680347	
Besetzer	Hämmern	Klitoris	Abrollen	0.8296333559945	0.10384309763616871	
Extremist	Anschlag	Auswuchs	Abrollen	0.8296161905118616	0.11431796350101542	
Bombenleger	Anschlag	Hexenschuß	Widerhaken	0.8283512860619514	0.06959060627100637	
Ohrenzeuge	Schlagstock	Totenschädel	Fausthieb	0.8278905302287688	0.03540542232433871	
Aufschrei	Fußtritt	Kaliber	Bolzen	0.8254937036558645	0.10787412200515945	
Ohrenzeuge	Schlagstock	Wasserkopf	Lidschlag	0.8252042500057438	0.10443300803436448	
Pauker	Hämmern	Herzkammer	Karabiner	0.8248195396515255	0.06345929880361331	
Hooligan	Rohrstock	Bohrturm	Fausthieb	0.8241537370614046	0.09032828247659015	
Bombenleger	Anschlag	Hexenschuß	Widerhaken	0.8234066220799968	0.0656185631730301	
Hooligan	Anschlag	Unterleib	Widerhaken	0.8219992740904694	0.07355235996137073	
Musikbox	Taktstock	Amulett	Handgriff	0.8218054738118643	0.11867878242203606	
Vorfall	Anschlag	Blase	Karabiner	0.8193237887579773	0.06485341667302615	
Protestler	Schlagstock	Wurmfortsatz	Fausthieb	0.8185461984100219	0.06628328182805135	
Sprechchor	Schlagwerk	Birkenstock	Riemen	0.8180265622197442	0.07958504079066742	
Beitrag	Tanz	Casino	Ball	0.8166085395692416	0.004370559224782571	
Schreihals	Fußtritt	Totenkopf	Stichsäge	0.8164995473793444	0.06423603148578517	
Aufschrei	Anschlag	Hexenschuß	Widerhaken	0.816404428980464	0.11593410629938608	
Schrei	Schlag	Visier	Zange	0.8162915616676537	0.09280204547002924	
Ventil	Hämmern	Vorhaut	Abrollen	0.8161815821821762	0.05389940181509141	
Bauchredner	Rohrstock	Wasserkopf	Fußknöchel	0.8154849215639678	0.06464653123831533	
Schreihals	Fußtritt	Brustwarze	Ellbogen	0.8132057499418432	0.07084312524681065	
Hooligan	Fußtritt	Buckel	Bolzen	0.8130902324889867	0.09527976931247854	
Protestler	Fußtritt	Unterleib	Karabiner	0.8093542329738582	0.10800555132521605	
Protestler	Hämmern	Wehrgang	Abrollen	0.8092890547217247	0.038260763149935505	
Zwischenfall	Anschlag	Nasenbluten	Widerhaken	0.8088113626516978	0.12498204255543524	
Clown	Schlagstock	Schädel	Fausthieb	0.8086804918691978	0.020349135331022263	
Schrei	Fußtritt	Gefechtskopf	Ellbogen	0.8066983516682741	0.09547668780073006	
Besetzer	Hämmern	Ringbahn	Abrollen	0.80637250294475	0.06625381161648265	
Bauchredner	Rohrstock	Pulsader	Lidschlag	0.805430692246463	0.09388976650046105	
