variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.375	1.2126	6.6111	1.8488	-1.277	0.20264	0.31522	6.3472	1.5781	6.6389	1.5439	-1.5798	0.11525	0.3227
log10_word_frequency_sdewac	3.0205	0.4411	3.0472	0.6429	-0.4092	0.68269	0.68269	3.0273	0.5045	3.0404	0.5947	-0.2	0.84159	0.89187
word_average_bigram_frequency	24543653.0867	15425076.6584	23604654.3901	15758671.854	0.5092	0.611	0.658	24400253.392	16444344.0556	23748054.0849	14699675.3165	0.3536	0.7239	0.89187
word_average_trigram_frequency	2321879.4816	2592410.8011	2088308.9497	2389215.8026	0.7923	0.42886	0.50034	2176123.514	2158808.1879	2234064.9173	2791790.1272	-0.1963	0.84449	0.89187
old20_score	2.6337	0.5594	2.8462	0.918	-2.3637	0.01876	0.04377	2.6809	0.7222	2.799	0.8061	-1.3044	0.19314	0.45067
predicted_concreteness	1.6763	0.5603	1.5338	0.5708	2.1311	0.03393	0.06787	1.4626	0.455	1.7475	0.6342	-4.3641	2e-05	8e-05
predicted_visual	0.9765	0.9397	0.2034	1.0698	6.4923	0.0	0.0	0.6433	0.8234	0.5366	1.2817	0.8379	0.40281	0.80562
predicted_gustatory	0.442	1.6341	-0.1807	0.8005	4.0921	6e-05	0.00019	0.1786	1.1166	0.0827	1.5012	0.6131	0.54029	0.80656
predicted_olfactory	0.61	1.5083	0.1995	0.8565	2.8301	0.00498	0.01395	0.6768	1.0447	0.1328	1.3615	3.7903	0.00018	0.00064
predicted_auditory	-1.1812	0.6473	1.0977	0.775	-26.988	0.0	0.0	-0.0862	1.1933	0.0028	1.4793	-0.5597	0.57612	0.80656
predicted_hand	0.5546	1.2543	0.399	1.2956	1.0321	0.3029	0.42406	-0.5985	0.5855	1.5521	0.7802	-26.3642	0.0	0.0
predicted_valence	0.4056	0.8149	0.3273	0.7215	0.8609	0.39004	0.49641	0.3346	0.768	0.3983	0.7719	-0.7	0.4845	0.80656
predicted_arousal	-0.3819	0.9607	0.2068	0.9926	-5.0963	0.0	0.0	-0.0957	1.0778	-0.0793	0.959	-0.1361	0.89187	0.89187
predicted_dominance	0.2403	0.8353	0.0553	0.7202	2.0058	0.04581	0.08018	-0.1027	0.7604	0.3983	0.728	-5.6922	0.0	0.0
