variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.9875	0.9013	6.875	1.2882	0.636	0.52569	0.6133	6.9	1.044	6.9625	1.1773	-0.353	0.72454	0.84529
log10_word_frequency_sdewac	3.0079	0.3951	3.0015	0.5263	0.0873	0.93052	0.93052	2.9725	0.3794	3.0369	0.5358	-0.8731	0.38393	0.71279
word_average_bigram_frequency	28067999.5636	16937823.261	25826515.8279	16958480.3669	0.8312	0.40711	0.6133	28789713.1729	18342968.7986	25104802.2186	15288500.5519	1.3716	0.17213	0.48198
word_average_trigram_frequency	2992126.0399	3156459.7059	2623321.7056	3311514.9848	0.7165	0.47472	0.6133	2901586.5282	2974040.4357	2713861.2172	3483509.8362	0.3643	0.71614	0.84529
old20_score	6.9875	0.9013	6.875	1.2882	0.636	0.52569	0.6133	6.9	1.044	6.9625	1.1773	-0.353	0.72454	0.84529
predicted_concreteness	1.5792	0.3075	1.516	0.3858	1.1395	0.25621	0.51242	1.4947	0.3376	1.6005	0.3547	-1.919	0.05679	0.26503
predicted_visual	1.0291	0.8994	0.5439	0.8435	3.4978	0.00061	0.00171	0.8525	0.8438	0.7204	0.9578	0.9199	0.35902	0.71279
predicted_gustatory	0.7065	1.7644	-0.2805	0.7815	4.546	1e-05	8e-05	0.233	1.0582	0.193	1.7579	0.1732	0.86274	0.89634
predicted_olfactory	0.8816	1.6167	0.0084	0.8688	4.2286	4e-05	0.00019	0.6299	1.0827	0.2602	1.5841	1.7126	0.08874	0.3106
predicted_auditory	-1.2589	0.4923	0.8676	0.5718	-25.0491	0.0	0.0	-0.208	1.2055	-0.1833	1.1734	-0.1305	0.89634	0.89634
predicted_hand	0.5756	1.0672	0.6695	1.2044	-0.5182	0.60507	0.65161	-0.4218	0.4082	1.6669	0.4959	-28.9032	0.0	0.0
predicted_valence	0.3921	0.8435	0.2707	0.659	1.0078	0.31509	0.55141	0.3815	0.7057	0.2813	0.8063	0.8309	0.40731	0.71279
predicted_arousal	-0.3562	0.9193	0.1905	0.9258	-3.7241	0.00027	0.00095	-0.0362	1.0107	-0.1296	0.9087	0.6106	0.54234	0.84364
predicted_dominance	0.2381	0.8192	0.0664	0.6136	1.4914	0.13785	0.32166	-0.0299	0.6933	0.3343	0.7179	-3.2436	0.00144	0.01008
