Table 1
word	Final_rating																
Klöppel	mid																
Streicheln	bad																
Hämmern	bad																
Klatschen	bad																
Klopfen	bad																
Schlag	sound																
Vibrieren	bad																
Anschlag	bad																
Tanz	sound																
Nachschlag	bad																
Schlagwerk	mid																
Rohrstock	mid																
Taktstock	good																
Schlagstock	good																
Motorsäge	good																
Klaviatur	good																
Fußtritt	bad																
