Table 1
word	Final_rating															
Lächeln	bad															
Biograf	bad															
Psychiater	bad															
Mitarbeiter	bad															
Regisseur	sound															
Flugplatz	good															
Kompagnon	bad															
Theologe	bad															
Antifaschist	bad															
Ohr	bad															
Unterhändler	bad															
Troubadour	bad															
Kommandeur	sound															
Dämpfer	bad															
Randale	sound															
Kundschafter	bad															
Torwächter	bad															
Passantin	bad															
Baby	bad															
Patin	bad															
Wolf	mid															
Meise	mid															
Sprecher	sound															
Känguruh	bad															
Bariton	bad															
Assassine	bad															
Sinto	bad															
Synagoge	bad															
Hotelier	bad															
Großvater	bad															
Blaupunkt	bad															
Säufer	bad															
Tonleiter	bad															
Antilope	bad															
Singvogel	good															
Spaßmacher	bad															
Rezitator	bad															
Zehnkämpfer	bad															
Soldat	sound															
Schweinchen	bad															
Spitzbube	bad															
Pauker	bad															
Steigflug	bad															
Holzbläser	bad															
Anrufer	sound															
Schwalbe	good															
Strauß	bad															
Tick	bad															
Rebhuhn	bad															
Kloß	bad															
Schauspieler	sound															
Funktionär	bad															
Wächter	bad															
Reiher	bad															
Haushalter	bad															
Seismologe	bad															
Wurm	bad															
Molch	bad															
Häuptling	bad															
Muff	bad															
Nashorn	bad															
Radiator	bad															
Entertainer	sound															
Tierarzt	bad															
Boxer	sound															
Nachbarin	bad															
Trommler	sound															
Dickschädel	bad															
Söhnchen	bad															
Memorandum	bad															
Mitschnitt	bad															
Maskottchen	bad															
Langstrumpf	bad															
Tiergarten	mid															
Augenzeugin	bad															
Lemming	bad															
Kreisverkehr	sound															
Gastwirt	bad															
Klarinettist	bad															
Zweisitzer	bad															
Ochse	bad															
Superhirn	bad															
Pirat	sound															
Köchin	bad															
Schulhaus	bad															
Arzt	bad															
Mandarin	bad															
Schrifttafel	bad															
Krachen	bad															
Kellner	sound															
Steppenwolf	bad															
Kavalier	bad															
Protest	bad															
Autokolonne	sound															
Astrologe	bad															
Schlingel	bad															
Bergleute	bad															
Schneesturm	bad															
Schrift	bad															
Rock	bad															
Lehrerin	bad															
Kolibri	good															
Wortlaut	bad															
Dickkopf	bad															
Sägemühle	good															
Pfiff	sound															
Dachs	bad															
Würdenträger	bad															
Kämmerchen	bad															
Rabauke	sound															
Woge	bad															
Feuerstätte	mid															
Cousin	bad															
Zerstörer	bad															
Todesschütze	bad															
Glotze	bad															
Kommunist	bad															
Trinker	bad															
Brecher	bad															
Wachtmeister	bad															
Väterchen	bad															
Dolmetscher	bad															
Trupp	bad															
Automat	bad															
Diener	bad															
Sprecherin	sound															
Geysir	bad															
Dienerin	bad															
Tür	bad															
Eisbrecher	bad															
Gemurmel	sound															
Heuschrecke	bad															
Phantom	bad															
Irrläufer	bad															
Neonazi	bad															
Satellit	bad															
Würger	bad															
Abschrift	bad															
Pädiater	bad															
Absolvent	bad															
Jingle	sound															
Bauer	bad															
Komiker	sound															
Renault	bad															
Attentäter	bad															
Schützer	bad															
Murmeltier	bad															
Koordinator	bad															
Schlitzohr	bad															
Oberst	bad															
Pförtner	bad															
Inspirator	bad															
Kumpel	bad															
Interview	bad															
Schwan	good															
Steinmetz	bad															
Sprichwort	bad															
Pauke	bad															
Gangster	sound															
Nagetier	bad															
Theaterautor	bad															
Maulesel	bad															
Rettungsboot	bad															
Raucher	bad															
Dompteur	bad															
Moderator	sound															
Nachtclub	sound															
Amokläufer	bad															
Vorfall	bad															
Scientologe	bad															
Kommuniqué	bad															
Weggefährte	bad															
Fresser	bad															
Autofahrer	sound															
Airport	bad															
Mitschüler	bad															
Saxophonist	sound															
Ochsenknecht	bad															
Beleuchter	bad															
Mobilfunk	bad															
Fußgänger	bad															
Kollege	bad															
Wache	bad															
Ohrenzeuge	bad															
Luftraum	bad															
Fledermaus	bad															
Gewandhaus	bad															
Klimbim	bad															
Protestler	sound															
Hofnarr	sound															
Spion	bad															
Hähnchen	bad															
Giraffe	bad															
Anzeigetafel	bad															
Audi	bad															
Flüchtling	bad															
Looping	bad															
Farmer	bad															
Trichter	bad															
Pirol	bad															
Kakadu	good															
Paragraph	bad															
Brachvogel	bad															
Händler	sound															
Kanonier	bad															
Spezi	bad															
Darsteller	sound															
Tanzende	bad															
Haushälterin	bad															
Wetterhahn	bad															
Flamme	bad															
Papi	bad															
Halbaffe	bad															
Piepser	mid															
Bassist	sound															
Plagiator	bad															
Sportsmann	bad															
Mittelsmann	bad															
Chef	bad															
Lift	bad															
Manager	bad															
Redakteur	bad															
Schakal	bad															
Figur	bad															
Haltepunkt	bad															
Bauchredner	bad															
Rehwild	bad															
Bomber	bad															
Sängerin	sound															
Wirtsleute	bad															
Kakerlak	bad															
Büffel	mid															
Maikäfer	bad															
Biene	bad															
Rosine	bad															
Riese	bad															
Drahtzieher	bad															
Standort	bad															
Sergeant	bad															
Anführer	bad															
Plagiat	bad															
Jeep	bad															
Brocken	bad															
Butt	bad															
Panoptikum	bad															
Halle	bad															
Beitrag	bad															
Notarztwagen	good															
Hai	bad															
Airplane	bad															
Mischpult	bad															
Kondensator	good															
Triebwerk	good															
Flieger	good															
Tarantel	bad															
Telefax	mid															
Kapelle	good															
Bus	bad															
Telegraph	mid															
Mühle	bad															
Kai	bad															
Gondel	good															
Baumwipfel	bad															
Aufzug	mid															
Lautsprecher	good															
Megaphon	sound															
Kompressor	good															
Funkgerät	bad															
Trafo	good															
Rabe	good															
Radio	sound															
Elefant	good															
Flugzeug	mid															
Papagei	good															
Tornado	good															
Tonband	good															
Detektor	mid															
Zirkus	good															
Luftfahrzeug	good															
Grube	bad															
Lkw	bad															
Tuba	sound															
Auspuff	good															
Krähe	good															
Sprechanlage	bad															
Videotext	bad															
Kröte	good															
Flughafen	good															
Wachturm	good															
Wasserwerk	good															
Theater	good															
Saloon	good															
Wald	mid															
Taube	good															
Spatz	good															
Staudamm	mid															
Sporthalle	good															
Wal	good															
Stier	good															
Nachtlokal	mid															
Jaguar	good															
Panda	mid															
Gegenspieler	bad															
Hund	bad															
Haselmaus	bad															
Zaunkönig	good															
Waschbär	mid															
BMW	bad															
Übersetzer	bad															
Wahlkämpfer	bad															
Revolverheld	bad															
Teilnehmer	bad															
Kaff	bad															
Kopfgeld	bad															
Menschenaffe	bad															
Wilddieb	bad															
Blumfeld	bad															
Abflug	sound															
Buchstabe	bad															
Fernsprecher	bad															
Rüffel	bad															
Marder	mid															
Magier	sound															
Weißwurst	bad															
Diakon	bad															
Fuhrleute	bad															
Kielwasser	bad															
Zeichentrick	bad															
Lebenslauf	bad															
Schreihals	sound															
Sänger	sound															
Kapitän	sound															
Hamster	mid															
Hinweis	bad															
Kommissarin	bad															
Tiger	good															
Motor	good															
Fischadler	bad															
Dschunke	bad															
Kerzenschein	bad															
Telegraf	mid															
Ehemann	bad															
Hubschrauber	good															
Biber	mid															
Metronom	mid															
Theoretiker	bad															
Text	bad															
Gendarm	bad															
Liederhalle	bad															
Journalistin	sound															
Gewinnerin	bad															
Aufschrei	sound															
Flamingo	bad															
Schmierfink	bad															
Legierung	bad															
Beamter	bad															
Musikbox	sound															
Radiologe	bad															
Musiker	sound															
Sprechchor	sound															
Anwalt	bad															
Fährte	bad															
Trompeter	sound															
Propeller	good															
Produzent	bad															
Häuflein	bad															
Funktelefon	bad															
Schächter	bad															
Autor	bad															
Zeitung	bad															
Glossar	bad															
Karatschi	bad															
Reporterin	sound															
Vogel	good															
Kommissar	bad															
Schwall	bad															
Fassung	bad															
Stadtführer	bad															
Eunuch	bad															
Gründer	bad															
Posaunist	sound															
Redner	sound															
Krankenwagen	mid															
Meerjungfrau	bad															
Schule	bad															
Sandburg	bad															
Leseratte	bad															
Brandung	bad															
Schlagzeile	bad															
Mercedes	bad															
Reh	bad															
Laternenmast	bad															
Recorder	bad															
Schulgebäude	bad															
Leitartikel	bad															
Vater	bad															
Extremist	bad															
Wirtin	bad															
Sitzplatz	bad															
Ventil	bad															
Kleiber	bad															
Uhu	bad															
Autobus	bad															
Bericht	bad															
Blitz	bad															
Leiter	bad															
Staatsanwalt	bad															
Bär	good															
Tölpel	bad															
Wiegenlied	bad															
Luftstrom	bad															
Zweig	bad															
Klaps	sound															
Klingelton	sound															
Pierrot	bad															
Feuervogel	bad															
Ratte	bad															
Silo	bad															
Hahnenschrei	bad															
Kaffer	bad															
Steinbruch	bad															
Spruch	sound															
Turm	bad															
Mägdlein	bad															
Türsteher	bad															
Wiesel	bad															
Bombenleger	bad															
Feuerschein	bad															
Kettenhund	bad															
Autofahrerin	bad															
Gerichtssaal	bad															
Enkelsohn	bad															
Videoband	bad															
Schuljunge	bad															
Politiker	bad															
Kommentar	sound															
Hyäne	good															
Telephon	sound															
Gitarrist	sound															
Popo	bad															
Kalb	bad															
Kuckuck	good															
Kurier	bad															
Artgenosse	bad															
Marinesoldat	bad															
Eisvogel	bad															
Nachtklub	bad															
Wärter	bad															
Feuersturm	mid															
Anwohnerin	bad															
Schafhirt	bad															
Vierzylinder	bad															
Funke	bad															
Mitbewohner	bad															
Hof	bad															
Senator	sound															
Kommentator	sound															
Aula	good															
Nieselregen	bad															
Schlachthof	bad															
Kehlkopf	bad															
Zecher	bad															
Kätzchen	bad															
Idol	bad															
Begleiter	bad															
Volkswagen	bad															
Sprachrohr	bad															
Cockpit	bad															
Teufel	bad															
Erdmännchen	bad															
Seeräuber	bad															
Schlucker	bad															
Chauffeur	bad															
Insasse	bad															
Feuer	bad															
Volkswirt	bad															
Affe	good															
Depp	bad															
Gaukler	sound															
Esel	sound															
Werbeanzeige	bad															
Robbe	bad															
Bandkollege	bad															
Brutstätte	bad															
Specht	good															
Schwein	good															
Enkelkind	bad															
Flugsaurier	bad															
Kinderarzt	bad															
Schauplatz	bad															
Vogelmann	bad															
Gewinner	bad															
Späher	bad															
Sitzungssaal	bad															
Hirte	bad															
Jackpot	bad															
Anbeter	bad															
Schulleiter	bad															
Zaungast	bad															
Kerl	bad															
Chefkoch	sound															
Zwischenfall	bad															
Flug	bad															
Chamäleon	bad															
Mutter	bad															
Eule	good															
Düsenjet	good															
Dickhäuter	bad															
Gala	good															
Musikant	sound															
Kälbchen	bad															
Grille	good															
Höhle	bad															
Nebel	bad															
Leibwächter	bad															
Romanautor	bad															
Panther	mid															
Lümmel	bad															
Idiot	bad															
Pastor	bad															
Taxi	mid															
Ameisenbär	bad															
Kanonenboot	bad															
Besetzer	bad															
Eber	bad															
Diplomat	bad															
Sender	bad															
Punker	bad															
Verleger	bad															
Stockente	bad															
Samariter	bad															
Küster	bad															
Henne	good															
Luft	bad															
Untertasse	bad															
General	bad															
Marktplatz	bad															
Eisbär	bad															
Offizier	sound															
Lockvogel	bad															
Feldwebel	sound															
Schlächter	bad															
Fist	bad															
Spielstätte	bad															
Auslöser	bad															
Dinosaurier	bad															
Rotkehlchen	good															
Vergaser	bad															
Badegast	bad															
Sohn	bad															
Automobil	bad															
