Table 1
word	Final_rating																
Rezitator	bad																
Sprechanlage	bad																
Minister	bad																
Tonleiter	bad																
Protestler	bad																
Zeichentrick	bad																
Verfasser	bad																
Gezwitscher	sound																
Wärter	bad																
Megaphon	bad																
Sänger	sound																
Schulleiter	bad																
Hooligan	sound																
Artgenosse	bad																
Kleiber	bad																
Unterhändler	bad																
Sängerin	bad																
Reporterin	sound																
Spruch	sound																
Kanzlerin	bad																
Gemurmel	sound																
Moderatorin	sound																
Plagiator	bad																
Spaßmacher	bad																
Darsteller	bad																
Troubadour	bad																
Sender	bad																
Mitschüler	bad																
Extremist	bad																
Trinkspruch	bad																
Kollege	bad																
Funktionär	bad																
Moderator	bad																
Schauspieler	good																
Anführer	bad																
Augenzeuge	bad																
Beitrag	bad																
Ton	bad																
Ohrenzeuge	bad																
Journalist	sound																
Bauchredner	bad																
Staatsanwalt	bad																
Lied	bad																
Redner	sound																
Dolmetscher	sound																
Tierarzt	bad																
Fernsprecher	bad																
Posaunist	sound																
Schuljunge	bad																
Krachen	bad																
Schmierfink	bad																
Kommentator	sound																
Kommentar	bad																
Grunzen	bad																
Vorfall	bad																
Schreihals	sound																
Sprecher	bad																
Gitarrist	sound																
Lehrer	bad																
Musiker	bad																
Saal	bad																
Sinto	bad																
Monolog	sound																
Interpret	bad																
Autokolonne	bad																
Piepser	good																
Songtext	bad																
Tohuwabohu	bad																
Trommler	sound																
Musikant	sound																
Anwalt	bad																
Videotext	bad																
Jingle	sound																
Feuerwerker	bad																
Autofahrer	bad																
Wortlaut	bad																
Aufschrei	bad																
Schrei	sound																
Mitschnitt	bad																
Gerichtssaal	bad																
Pfiff	sound																
Funktelefon	bad																
Psalmist	bad																
Klingelton	sound																
Sprachrohr	bad																
Bombenleger	bad																
Amokläufer	bad																
Zwischenfall	bad																
Pauker	bad																
Komiker	sound																
Tölpel	bad																
Redakteur	bad																
Liederhalle	bad																
Schüler	bad																
Anrufer	sound																
Ohrwurm	sound																
Brecher	bad																
Besetzer	bad																
Showmaster	bad																
Reporter	bad																
Trauergast	bad																
Entertainer	bad																
Sprecherin	sound																
Schächter	bad																
Telefax	sound																
Uhu	bad																
Kompressor	good																
Schwalbe	good																
Kuckuck	good																
Tuba	bad																
Bariton	sound																
Sandmännchen	bad																
Zaunkönig	bad																
Pauke	bad																
Aufzug	bad																
Holzbläser	bad																
Clown	sound																
Hahnenschrei	bad																
Vogel	good																
Telegraf	bad																
Lautsprecher	good																
Radio	sound																
Tenor	sound																
Papagei	good																
Fiedel	sound																
Metronom	sound																
Funkgerät	sound																
Sirene	good																
Eule	good																
Krähe	good																
Singvogel	bad																
Recorder	sound																
Ohr	bad																
Tonband	sound																
Ventil	bad																
Musikbox	sound																
Mischpult	bad																
Sprechchor	sound																
Würger	bad																
