Table 1
word	Final_rating															
Hellebarde	bad															
Handgriff	bad															
Schneeschuh	bad															
Wandteppich	bad															
Sitzstange	bad															
Parken	bad															
Hüfte	bad															
Lidschlag	bad															
Tresorraum	bad															
Querlatte	bad															
Lesebändchen	bad															
Häufchen	bad															
Dachdeckung	bad															
Verzehr	bad															
Kicks	bad															
Furnier	bad															
Tätowieren	bad															
Grasnarbe	bad															
Einstich	bad															
Fläschchen	bad															
Stola	bad															
Kauen	bad															
Besprühen	bad															
Besatz	bad															
Lagerfeld	bad															
Stecher	bad															
Utensil	bad															
Weben	bad															
Bewehrung	bad															
Werkraum	bad															
Liegewiese	bad															
Kopfhaut	bad															
Erhitzen	bad															
Dekolleté	bad															
Trocknen	bad															
Fußraum	bad															
Innenseite	bad															
Einband	bad															
Schreibtisch	bad															
Befestigen	bad															
Blattwerk	bad															
Abtropfen	bad															
Packung	bad															
Schalung	bad															
Tiegel	bad															
Verrutschen	bad															
Kunstleder	bad															
Aufhängen	bad															
Kunstharz	bad															
Bindemittel	bad															
Gebinde	bad															
Kork	bad															
Haarschnitt	bad															
Biomaterial	bad															
Schmierstoff	bad															
Scheide	bad															
Bolzen	bad															
Kettchen	bad															
Konfekt	bad															
Schwellung	bad															
Sortiment	bad															
Mürbeteig	bad															
Garen	bad															
Knorpel	bad															
Kneten	bad															
Täschchen	bad															
Zimmerdecke	bad															
Sehne	bad															
Holzscheit	bad															
Kärtchen	bad															
Abkochen	bad															
Flicken	bad															
Lehnstuhl	bad															
Stecknadel	bad															
Oberhemd	bad															
Vorderlauf	bad															
Baugrund	bad															
Tragekomfort	bad															
Montierung	bad															
Taille	bad															
Kraftpaket	bad															
Anprobe	bad															
Hocke	bad															
Flechtwerk	bad															
Pflücken	bad															
Fotomontage	bad															
Wurstware	bad															
Material	bad															
Wand	bad															
Würfelchen	bad															
Latz	bad															
Polster	bad															
Schaft	bad															
Laufwerk	bad															
Anfertigen	bad															
Schnitt	bad															
Ballen	bad															
Planzen	bad															
Lasur	bad															
Filz	bad															
Wams	bad															
Pflasterung	bad															
Flegel	bad															
Hartholz	bad															
Stellfläche	bad															
Brustpanzer	bad															
Handapparat	bad															
Fußspitze	bad															
Boden	bad															
Handikap	bad															
Knobeln	bad															
Platzwunde	bad															
Zubereitung	bad															
Steckling	bad															
Nahrung	bad															
Sticken	bad															
Knäuel	bad															
Deckelung	bad															
Armbruster	bad															
Werkstück	bad															
Aussparung	bad															
Drogerie	bad															
Strippen	bad															
Lack	bad															
Waschküche	bad															
Buchbinder	bad															
Umhüllung	bad															
Dielenboden	bad															
Bajonett	bad															
Unterlage	bad															
Gewehr	bad															
Ferse	bad															
Seidenraupe	bad															
Armreif	bad															
Hinterteil	bad															
Tütchen	bad															
Arbeitsgang	bad															
Schriftrolle	bad															
Fausthieb	bad															
Handtasche	mid															
Torf	bad															
Huf	bad															
Spielfeld	bad															
Wunde	bad															
Hydrant	bad															
Klaue	bad															
Eisen	bad															
Liegestütze	bad															
Ohrläppchen	bad															
Fuß	bad															
Futtern	bad															
Lederhaut	bad															
Sitzfläche	bad															
Zopf	bad															
Fixieren	bad															
Urinieren	bad															
Kratzer	bad															
Elfenbein	bad															
Postern	bad															
Füllhorn	bad															
Fußboden	bad															
Gitternetz	bad															
Schärpe	bad															
Polyamid	bad															
Acryl	bad															
Aufreißen	bad															
Schnürchen	bad															
Leintuch	bad															
Tapete	bad															
Spanplatte	bad															
Pfote	bad															
Garn	bad															
Anschnitt	bad															
Speichel	bad															
Ringen	bad															
Überzug	bad															
Gewebe	bad															
Meerrettich	bad															
Werkbank	bad															
Holzschnitt	bad															
Holzstamm	bad															
Kilt	bad															
Accessoire	bad															
Befestigung	bad															
Akupressur	bad															
Salatgurke	bad															
Zubereiten	bad															
