Table 1
word	Final_rating																	
Markstein	bad																	
Volumen	bad																	
Flecken	mid																	
Profil	bad																	
Süßware	bad																	
Küstenlinie	bad																	
Sonnenmilch	bad																	
Geißel	bad																	
Bachstraße	bad																	
Grenadier	bad																	
Ziegelhausen	bad																	
Bootshaus	bad																	
Topas	bad																	
Sandwich	bad																	
Vorraum	mid																	
Spinnentier	bad																	
Sonnenstich	bad																	
Dreieck	bad																	
Pappel	good																	
Fangzahn	bad																	
Hochhaus	bad																	
Lyoner	bad																	
Atoll	bad																	
Hausboot	bad																	
Kirchhof	bad																	
Verdickung	bad																	
Siedlerin	bad																	
Anatom	bad																	
Rinne	mid																	
Lidschatten	bad																	
Haubitze	bad																	
Lämmchen	bad																	
Viertel	bad																	
Koloß	bad																	
Scheidewand	bad																	
Schindel	bad																	
Phalanx	bad																	
Fresko	bad																	
Weißdorn	bad																	
Schlupfloch	bad																	
Nasenbluten	bad																	
Blondschopf	bad																	
Eintopf	bad																	
Buschland	bad																	
Trockenmauer	bad																	
Dahlie	bad																	
Dicke	bad																	
Klecks	bad																	
Gaze	bad																	
Säckel	bad																	
Patina	bad																	
Schweinswal	bad																	
Swastika	bad																	
Harz	bad																	
Parzelle	bad																	
Superman	bad																	
Hohlraum	bad																	
Loch	good																	
Seitenschiff	bad																	
Borte	bad																	
Salz	bad																	
Sandelholz	bad																	
Schaubild	bad																	
Vorzimmer	mid																	
Sonnenbad	bad																	
Südstadt	bad																	
Moschus	bad																	
H&M	bad																	
Hexenschuß	bad																	
Nachbild	bad																	
Altarbild	bad																	
Münzstätte	bad																	
Gärtchen	bad																	
Lotus	bad																	
Wildblume	bad																	
Regiment	bad																	
Stammheimer	bad																	
Inhaltsstoff	bad																	
Tragwerk	bad																	
Buschwerk	bad																	
Fernglas	bad																	
Gartenstraße	bad																	
Lämpchen	bad																	
Faßbinder	bad																	
Albumin	bad																	
Eis	bad																	
Sandhügel	bad																	
Stute	bad																	
Sümmchen	bad																	
Säulengang	bad																	
Wagenlenker	bad																	
Schalentier	bad																	
Nektarine	bad																	
Wasserlinie	bad																	
Röschen	bad																	
Palisade	bad																	
Starterin	bad																	
Oberseite	bad																	
Bier	bad																	
Fahrkarte	bad																	
Nebenfluß	bad																	
Pilger	bad																	
Eiermann	bad																	
Asiatin	bad																	
Square	bad																	
Mauerwerk	bad																	
Fruchtzucker	bad																	
Reliquie	bad																	
Krabbe	bad																	
Languste	bad																	
Mikroskop	bad																	
Satin	bad																	
Paddock	bad																	
Achteck	bad																	
Kleinode	bad																	
Garbe	bad																	
Fernrohr	bad																	
Asbest	bad																	
Schneefeld	bad																	
Farmhaus	bad																	
Granat	bad																	
Whiskey	bad																	
Lippenstift	bad																	
Breme	bad																	
Fußgängerweg	bad																	
Fadenwurm	bad																	
Giftstoff	bad																	
Kardamom	bad																	
Stadtviertel	bad																	
Sphinx	bad																	
Fries	bad																	
Goldfinger	bad																	
Heer	bad																	
Retorte	bad																	
Fragment	bad																	
Fleckchen	bad																	
Pentagon	bad																	
Protein	bad																	
