Table 1
word	Final_rating																	
Spülkasten	bad																	
Kneten	bad																	
Möbelstück	bad																	
Anfertigen	bad																	
Stichsäge	action																	
Widerhaken	bad																	
Lauffläche	bad																	
Flicken	bad																	
Montieren	bad																	
Befestigen	bad																	
Polsterung	bad																	
Trocknen	bad																	
Satteltasche	bad																	
Tragetuch	bad																	
Stickerei	bad																	
Strickjacke	bad																	
Fixieren	bad																	
Webstuhl	bad																	
Säbel	action																	
Verrutschen	bad																	
Tätowieren	bad																	
Tragekomfort	bad																	
Befestigung	bad																	
Halterung	bad																	
Faltenwurf	bad																	
Bolzen	bad																	
Vorhängen	bad																	
Beschlag	bad																	
Aufhängen	bad																	
Fingernagel	bad																	
Sandpapier	bad																	
Knobeln	bad																	
Abrollen	bad																	
Drehbank	bad																	
Schuhkarton	bad																	
Sticken	bad																	
Rasieren	bad																	
Möbel	bad																	
Handgriff	bad																	
Handtasche	bad																	
Weben	bad																	
Utensil	bad																	
Keilriemen	bad																	
Schaft	bad																	
Arbeitsgang	bad																	
Kleben	bad																	
Befeuchtung	bad																	
Kochgeschirr	bad																	
Gurt	mid																	
Maniküre	bad																	
Liegestütze	bad																	
Bettzeug	bad																	
Planzen	bad																	
Kicks	bad																	
Fausthieb	bad																	
Lidschlag	bad																	
Waschen	bad																	
Segeltuch	bad																	
Tasche	good																	
Bettwäsche	good																	
Rucksack	good																	
Messer	good																	
Zange	good																	
Haken	good																	
Paddel	good																	
Schuhwerk	bad																	
Taschentuch	good																	
Brosche	mid																	
Riemen	good																	
Fußgelenk	bad																	
Hantel	good																	
Karton	good																	
Knetmasse	good																	
Hand	bad																	
Textile	bad																	
Wickel	good																	
Klebstoff	good																	
Schnittgut	mid																	
Handschuh	good																	
Bleistift	good																	
Handgelenk	bad																	
Leder	mid																	
Bein	bad																	
Knie	bad																	
Kelle	good																	
Radiergummi	good																	
Steigeisen	mid																	
Zaumzeug	good																	
Kettchen	bad																	
Textilie	good																	
Ball	action																	
Schnalle	good																	
Accessoire	bad																	
Unterarm	bad																	
Fingerkuppe	bad																	
Schrubber	good																	
Tisch	good																	
Tischdecke	good																	
Hacke	good																	
Handkarren	good																	
Bügeleisen	good																	
Oberschenkel	bad																	
Tablett	good																	
Deckel	good																	
Geschirr	good																	
Hosentasche	bad																	
Papier	good																	
Spitzhacke	bad																	
Beutel	good																	
Tischtuch	action																	
Manschette	bad																	
Ballen	bad																	
Gestell	good																	
Bindfaden	good																	
Pinzette	good																	
Schnur	good																	
Einrad	good																	
Schlitten	good																	
Strick	good																	
Garn	good																	
Karabiner	good																	
Schränkchen	bad																	
Kniescheibe	bad																	
Notizblock	good																	
Fußmatte	good																	
Schraubstock	good																	
Handfläche	bad																	
Besteck	good																	
Daumen	bad																	
Schnürsenkel	good																	
Kleidung	good																	
Unterlage	bad																	
Schreibfeder	good																	
Griff	good																	
Bürste	good																	
Werkstück	action																	
Bügel	good																	
Ellbogen	bad																	
Kissen	good																	
Schneebesen	good																	
Schere	action																	
Stange	good																	
Fußknöchel	bad																	
Bekleidung	bad																	
Wäsche	bad																	
Sitzfläche	bad																	
