word	category
Grabmal	lowA_lowS
Stachel	lowA_lowS
Einhorn	lowA_lowS
Schweif	lowA_lowS
Strauch	lowA_lowS
Vordach	lowA_lowS
Mahnmal	lowA_lowS
Pfeiler	lowA_lowS
Fenchel	lowA_lowS
Veranda	lowA_lowS
Stausee	lowA_lowS
Thymian	lowA_lowS
Gebüsch	lowA_lowS
Schlund	lowA_lowS
Fassade	lowA_lowS
Anwesen	lowA_lowS
Schleim	lowA_lowS
Makrele	lowA_lowS
Bildnis	lowA_lowS
Verlies	lowA_lowS
Koralle	lowA_lowS
Marmor	lowA_lowS
Vorhof	lowA_lowS
Falter	lowA_lowS
Flecken	lowA_lowS
Kiesel	lowA_lowS
Krabbe	lowA_lowS
Abhang	lowA_lowS
Prärie	lowA_lowS
Gefieder	lowA_lowS
Sockel	lowA_lowS
Phosphor	lowA_lowS
Pappel	lowA_lowS
Piranha	lowA_lowS
Gehöft	lowA_lowS
Zipfel	lowA_lowS
Denkmal	lowA_lowS
Kuppel	lowA_lowS
Schilf	lowA_lowS
Oktopus	lowA_lowS
Kristall	lowA_lowS
Knospe	lowA_lowS
Pollen	lowA_lowS
Schuppe	lowA_lowS
Qualle	lowA_lowS
Kastanie	lowA_lowS
Sphinx	lowA_lowS
Lavendel	lowA_lowS
Giraffe	lowA_lowS
Kruste	lowA_lowS
Schwefel	lowA_lowS
Natter	lowA_lowS
Emblem	lowA_lowS
Krater	lowA_lowS
Korridor	lowA_lowS
Elektron	lowA_lowS
Abbild	lowA_lowS
Lagune	lowA_lowS
Flagge	lowA_lowS
Akazie	lowA_lowS
Biotop	lowA_lowS
Zisterne	lowA_lowS
Sediment	lowA_lowS
Diagramm	lowA_lowS
Flocke	lowA_lowS
Planet	lowA_lowS
Skorpion	lowA_lowS
Seestern	lowA_lowS
Sensor	lowA_lowS
Portrait	lowA_lowS
Auster	lowA_lowS
Sandbank	lowA_lowS
Tornado	lowA_highS
Papagei	lowA_highS
Panther	lowA_highS
Hamster	lowA_highS
Flieger	lowA_highS
Gorilla	lowA_highS
Tonband	lowA_highS
Auspuff	lowA_highS
Truthahn	lowA_highS
Telefax	lowA_highS
Kolibri	lowA_highS
Kleinbus	lowA_highS
Elefant	lowA_highS
Sperling	lowA_highS
Kuckuck	lowA_highS
Schwein	lowA_highS
Kapelle	lowA_highS
Brandung	lowA_highS
Waschbär	lowA_highS
Düsenjet	lowA_highS
Stadion	lowA_highS
Telegraf	lowA_highS
Jaguar	lowA_highS
Staudamm	lowA_highS
Schwalbe	lowA_highS
Saloon	lowA_highS
Grille	lowA_highS
Metronom	lowA_highS
Kakadu	lowA_highS
Marder	lowA_highS
Piepser	lowA_highS
Ferkel	lowA_highS
Sirene	lowA_highS
Schwan	lowA_highS
Gondel	lowA_highS
Büffel	lowA_highS
Flugzeug	lowA_highS
Aufzug	lowA_highS
Zirkus	lowA_highS
Specht	lowA_highS
Propeller	lowA_highS
Flugplatz	lowA_highS
Geläut	lowA_highS
Pavian	lowA_highS
Triebwerk	lowA_highS
Zaunkönig	lowA_highS
Spatz	lowA_highS
Biber	lowA_highS
Henne	lowA_highS
Meise	lowA_highS
Lastwagen	lowA_highS
Kröte	lowA_highS
Taube	lowA_highS
Tiger	lowA_highS
Panda	lowA_highS
Flughafen	lowA_highS
Frosch	lowA_highS
Sägemühle	lowA_highS
Stier	lowA_highS
Rotor	lowA_highS
Dohle	lowA_highS
Trafo	lowA_highS
Krähe	lowA_highS
Motor	lowA_highS
Ziege	lowA_highS
Wasserfall	lowA_highS
Hyäne	lowA_highS
Singvogel	lowA_highS
Wasserwerk	lowA_highS
Feuersturm	lowA_highS
Schimpanse	lowA_highS
Helikopter	lowA_highS
Kommode	highA_lowS
Zahnrad	highA_lowS
Vitrine	highA_lowS
Schemel	highA_lowS
Bargeld	highA_lowS
Joghurt	highA_lowS
Schminke	highA_lowS
Strumpf	highA_lowS
Frisbee	highA_lowS
Markise	highA_lowS
Saatgut	highA_lowS
Schlinge	highA_lowS
Korsett	highA_lowS
Kandare	highA_lowS
Krümel	highA_lowS
Diskette	highA_lowS
Schleppe	highA_lowS
Barren	highA_lowS
Schraube	highA_lowS
Skalpell	highA_lowS
Bumerang	highA_lowS
Ausweis	highA_lowS
Schlaufe	highA_lowS
Peperoni	highA_lowS
Prothese	highA_lowS
Tupfer	highA_lowS
Umschlag	highA_lowS
Stativ	highA_lowS
Krücke	highA_lowS
Bikini	highA_lowS
Ranzen	highA_lowS
Sattel	highA_lowS
Futter	highA_lowS
Webstuhl	highA_lowS
Riemen	highA_lowS
Locher	highA_lowS
Kordel	highA_lowS
Lineal	highA_lowS
Skizze	highA_lowS
Krokette	highA_lowS
Himbeere	highA_lowS
Butter	highA_lowS
Textilie	highA_lowS
Paddel	highA_lowS
Wickel	highA_lowS
Einrad	highA_lowS
Kartoffel	highA_lowS
Rollstuhl	highA_lowS
Karabiner	highA_lowS
Scharnier	highA_lowS
Knauf	highA_lowS
Sohle	highA_lowS
Zügel	highA_lowS
Schlitten	highA_lowS
Stichsäge	highA_lowS
Filet	highA_lowS
Anker	highA_lowS
Waage	highA_lowS
Feile	highA_lowS
Tabak	highA_lowS
Degen	highA_lowS
Tandem	highA_lowS
Matte	highA_lowS
Gerte	highA_lowS
Scheck	highA_lowS
Spind	highA_lowS
Magnet	highA_lowS
Paste	highA_lowS
Mappe	highA_lowS
Wiege	highA_lowS
Paket	highA_lowS
Mango	highA_lowS
Traktor	highA_highS
Konsole	highA_highS
Dynamit	highA_highS
Posaune	highA_highS
