variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.7014	1.0546	6.9236	1.4533	-1.4799	0.14	0.21778	6.8542	1.2074	6.7708	1.3371	0.5531	0.5806	0.89502
log10_word_frequency_sdewac	2.9168	0.5007	2.9353	0.5815	-0.2883	0.77334	0.77334	2.9375	0.4963	2.9145	0.5851	0.3578	0.72077	0.89502
word_average_bigram_frequency	26518567.6033	16414380.8336	25344186.3981	16034971.6558	0.612	0.54102	0.58264	25712008.6967	16802689.733	26150745.3047	15646570.6335	-0.2285	0.81941	0.89502
word_average_trigram_frequency	2620475.3468	2438872.1196	2373675.0185	2857425.6357	0.7856	0.43275	0.5496	2463505.5992	2476235.674	2530644.7661	2830094.8276	-0.2135	0.83109	0.89502
old20_score	6.7014	1.0546	6.9236	1.4533	-1.4799	0.14	0.21778	6.8542	1.2074	6.7708	1.3371	0.5531	0.5806	0.89502
predicted_concreteness	1.4708	0.3821	1.5698	0.4478	-2.0116	0.0452	0.10547	1.548	0.419	1.4926	0.4176	1.1189	0.26414	0.73959
predicted_visual	0.8704	0.8261	0.3289	1.0078	4.9685	0.0	1e-05	0.7215	0.879	0.4778	1.021	2.1628	0.03138	0.10984
predicted_gustatory	0.4558	1.7145	-0.3052	0.7998	4.8105	0.0	1e-05	0.1062	1.1218	0.0444	1.615	0.3763	0.70699	0.89502
predicted_olfactory	0.5291	1.5784	0.0591	0.8555	3.1306	0.00193	0.00539	0.5551	1.0995	0.033	1.4101	3.4919	0.00056	0.00259
predicted_auditory	-1.1829	0.6716	1.0746	0.7974	-25.8953	0.0	0.0	-0.0003	1.274	-0.1079	1.4164	0.6755	0.49988	0.89502
predicted_hand	0.5669	1.3638	0.4555	1.2458	0.7217	0.47108	0.5496	-0.5648	0.582	1.5872	0.8739	-24.5101	0.0	0.0
predicted_valence	0.3367	0.7899	0.2638	0.6639	0.8446	0.39906	0.5496	0.3149	0.7046	0.2857	0.7553	0.3383	0.73542	0.89502
predicted_arousal	-0.3713	1.0116	0.1457	1.0023	-4.3412	2e-05	7e-05	-0.1055	1.0629	-0.12	1.0158	0.1177	0.90639	0.90639
predicted_dominance	0.175	0.8319	0.0315	0.7	1.5777	0.11574	0.21778	-0.12	0.7221	0.3264	0.7559	-5.1069	0.0	0.0
