Words	Pseudowords	n_Syllables	Bewertung	Included	Include? 	Pilot	Sound	Action	Hand Act	Hand is dominant	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Letters	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean	LDT_CorrResp_Prop	LDT_RT_Mean	CorrResp_Prop_PW	RT_Mean_PW		First_Miniblock_OddSubs	First_Miniblock_EvenSubs	Rating_Study	Unbekannt_GE	Unbekannt_HA	Unbekannt_VI	Pros	Cons			Phil Comments	Comments Phil	Comments Marie	Comments Gesa						Foot Act	Mouth Act			Category 	AF	Act	Kiefer		Kategorie 		Syllables_raw		Vertrautheit (ORIGINAL)	Geraeusch_SE	Handlung_SE	Visuell_SE	Vertrautheit_SE		RT_S_Sum	CongResp_S_Sum	NonNaNTrials_S	RT_A_Sum	CongResp_A_Sum	NonNaNTrials_A	RT_Sum_W	CorrResp_Sum_W	NonNaNTrials_W	RT_Sum_PW	CorrResp_Sum_PW	NonNaNTrials_PW			
Efeu	Afez	2	2	1		1	0	0			1,00		1,47		4,27		5,83	0,48	4	1,39	3,00	48139,70	27767,83	1	1	0	1,00	1,00	729,42	0,92	1,00	767,67	0,92	698,58	1,00	740,00		S	A	NachR_VE				very low AF	plant (only appear as low AF)																o	1	0,5	0				tur-bi-ne		5,06						8753	12	12	9212	11	12	8383	11	12	8880	12	12			
Elefant	Alehagt	3	1	1		1	1	0			4,67		1,67		5,60		5,96	0,20	7	10,28	2,14	207330,28	108084,34	1	1	1	0,67	0,64	898,08	1,00	1,00	839,17	1,00	569,25	1,00	758,17		A	S	NachR_VE				very high AF																						Kunst		skiz-ze		5,57	0,06	0,20	0,39	0,18		10777	8	12	10070	12	12	6831	12	12	9098	12	12			
Ahorn	Amirn	2	1	1		1	0	0			1,39	0,72	1,65	0,93	4,57	1,40	5,38	1,07	5	0,62	4,71	248483,77	220266,29	1	1	0	1,00	1,00	763,25	1,00	1,00	924,00	1,00	704,83	0,83	848,83		A	S	3	0,00	0,00	0,00																							menschengemachtes Objekt		kro-ne		5,71	0,11	0,33	0,19	0,12		9159	12	12	11088	12	12	8458	12	12	10186	10	12			
Angel	Arsel	2	1	1		1	0	1	1	1	1,44	0,62	5,33	1,08	4,61	1,33	5,67	0,77	5	4,62	16,70	167294,41	58319,57	0	0	0	0,92	0,91	835,33	0,75	0,73	819,42	1,00	669,25	0,92	824,42		A	S					very low AF	highly visual																					Einrichtung				5,52	0,07	0,34	0,40	0,18		10024	11	12	9833	9	12	8031	12	12	9893	11	12			
Auspuff	Aufrubs	2	3	1		1	1	0			5,00	1,05	2,53	1,47	3,58	1,61	5,10	1,14	7	0,52	0,86	77658,95	38758,08	0	0	0	0,92	0,91	900,08	0,75	0,73	975,67	1,00	655,00	1,00	1042,25		S	A					very high AF	not very low Act			Notfall x (not very low Act, but intuitively not strongly associated with actions)													f	0	0,8	1				bir-ne		4,60						10801	11	12	11708	9	12	7860	12	12	12507	12	12			
Satellit	Batentit	3	1	1		1	0	0			1,00		1,47		3,87		4,81	1,44	8	5,67	0,86	323723,37	145496,84	0	0	0	0,92	0,91	867,75	0,83	0,82	954,92	1,00	654,83	1,00	850,50		A	S					very low AF					Vertrautheit seltsamerweise sehr niedrig -> nochmal raten?												o	0,5	1	0						4,63						10413	11	12	11459	10	12	7858	12	12	10206	12	12			
Grille	Blolle	2	1	1		1	1	0			4,70	1,61	1,30	0,47	2,43	1,54	5,29	0,96	6	2,48	7,71	231508,70	166799,18	1	1	1	0,83	0,82	748,75	1,00	1,00	905,00	1,00	643,25	0,92	864,25		S	A	3	0,00	0,00	0,00						Nach-Rating (da seltsam hohes Act-Rating)									1			o	0	1	0				be-cher		6,00						8985	10	12	10860	12	12	7719	12	12	10371	11	12			
Frosch	Blosch	1	1	1		1	1	0			4,17	1,59	1,57	0,90	4,33	1,46	5,57	1,08	6	6,65	7,28	234599,06	130504,36	1	1	1	0,75	0,73	825,83	1,00	1,00	791,75	1,00	547,42	1,00	865,83		S	A	3	0,00	0,00	0,00						Nach-Rating (da seltsam hohes Act-Rating)												a	0,5	0	0						4,61	0,34	0,16	0,30	0,11		9910	9	12	9501	12	12	6569	12	12	10390	12	12			
Küken	Böken	2	3	1	Notfall x	1	1	0			3,78	1,40	1,78	0,88	5,11	1,02	5,61	0,92	5	1,00	3,85	400003,28	341377,47	1	1	1	0,83	0,82	978,67	1,00	1,00	914,17	0,83	664,00	1,00	702,83		S	A						not high AF			ja (intuitiv high AF)													o	1	1	1				mo-fa		3,93						11744	10	12	10970	12	12	7968	10	12	8434	12	12			
Gitarre	Bolarre	3	1	1		1	1	1	1	1	5,72	0,67	5,56	0,62	4,28	1,32	5,83	0,71	7	2,60	1,28	258821,50	156449,19	0	0	0	1,00	1,00	691,42	1,00	1,00	693,58	1,00	582,42	1,00	809,08		A	S					very high AF	musical instr (only appear as high AF)																m	1	1	0				kas-ta-gnet-te		4,17	0,39	0,34	0,37	0,32		8297	12	12	8323	12	12	6989	12	12	9709	12	12			
Turbine	Buldife	3	4	1		1	1	0			5,38	0,96	3,25	1,84	3,38	1,54	5,06	1,44	7	1,37	1,71	288657,27	175095,07	0	0	0	1,00	1,00	897,58	0,67	0,64	921,92	1,00	756,00	1,00	737,67		A	S					"very high AF; man-made item (little low Act)"	mid Act-Rating			im absoluten Notfall (mittleres Act-Rating)													o	0	1	1				herd		3,60						10771	12	12	11063	8	12	9072	12	12	8852	12	12			
Salamander	Dasosander	4	1	1		1	0	0			1,28	0,57	1,17	0,38	5,11	0,96	5,22	1,17	10	0,94	1,28	572007,24	298140,50	1	1	1	1,00	1,00	827,67	1,00	1,00	756,67	1,00	653,33	0,92	1013,75		A	S					very low AF	highly visual	very low action	very long														a	1	0,2	1				schaf		4,13	0,08	0,35	0,43	0,20		9932	12	12	9080	12	12	7840	12	12	12165	11	12			
Ferkel	Dergel	2	2	1	x	1	1	0			3,94	1,26	1,78	0,88	4,50	1,20	5,50	0,92	6	1,64	3,42	241927,99	37999,57	1	1	1	0,83	0,82	878,08	1,00	1,00	982,67	1,00	684,92	1,00	774,00		S	A						not very high AF																o	1	1	0				mei-ßel		4,94						10537	10	12	11792	12	12	8219	12	12	9288	12	12			
Denkmal	Dernbal	2	1	1		1	0	0			1,00		1,80		4,60		5,75	0,74	7	20,39	3,00	259577,98	44555,71	0	0	0	1,00	1,00	786,75	1,00	1,00	913,75	1,00	651,50	1,00	776,33		S	A	NachR_VE				very low AF																	o	1	1	0				ra-ke-te		5,44						9441	12	12	10965	12	12	7818	12	12	9316	12	12			
Dolch	Dohns	1	1	1		1	0	1	1	1	1,70	0,93	4,52	1,41	4,71	1,45	5,10	1,18	5	3,59	6,85	203045,83	100260,98	0	0	0	1,00	1,00	1019,58	0,83	0,91	878,67	0,92	699,83	1,00	692,75		S	A	3	0,00	0,00	0,00																									al-pa-ka		4,71	0,28	0,12	0,32	0,32		12235	12	12	10544	10	12	8398	11	12	8313	12	12			
Klavier	Draxier	2	1	1		1	1	1	1	1	5,89	0,32	5,50	0,51	4,17	1,50	5,83	0,71	7	12,32	4,71	388354,45	216934,57	0	0	0	1,00	1,00	682,50	1,00	1,00	836,17	1,00	547,33	1,00	753,33		A	S					very high AF	musical instr (only appear as high AF)																					Natur 		höh-le		5,67	0,15	0,28	0,32	0,16		8190	12	12	10034	12	12	6568	12	12	9040	12	12			
Knopf	Dropf	1	1	1		1	0	1	1	1	1,25	0,77	4,63	1,63	4,13	1,59	5,88	0,50	5	11,42	7,28	34492,72	25294,62	0	0	0	1,00	1,00	795,08	0,83	0,82	997,08	1,00	593,58	0,67	934,67		A	S					very low AF																	a	1	0	1				hum-mel		4,07	0,18	0,32	0,39	0,13		9541	12	12	11965	10	12	7123	12	12	11216	8	12			
