variable	low_sound_T	low_sound_p_raw	low_sound_p_corrected	high_sound_T	high_sound_p_raw	high_sound_p_corrected	low_action_T	low_action_p_raw	low_action_p_corrected	high_action_T	high_action_p_raw	high_action_p_corrected
word_length	-0.5885	0.5571	0.93806	-0.2958	0.76782	0.91868	0.4627	0.64428	0.79417	-1.2464	0.21465	0.68602
log10_word_frequency_sdewac	0.5536	0.58071	0.93806	0.8331	0.40616	0.91868	0.7128	0.47712	0.79417	0.7011	0.48437	0.68602
word_average_bigram_frequency	-1.1614	0.24743	0.93806	0.5161	0.60661	0.91868	-0.4539	0.6506	0.79417	-0.1724	0.86334	0.92975
word_average_trigram_frequency	-1.0575	0.29207	0.93806	0.7656	0.44521	0.91868	-0.9849	0.32636	0.79417	0.4083	0.68365	0.7976
old20_score	0.1629	0.87084	0.93806	-0.3366	0.73689	0.91868	0.3519	0.72545	0.79417	-0.5034	0.61543	0.78327
predicted_concreteness	1.3678	0.17352	0.93806	-0.3045	0.76123	0.91868	0.5249	0.60047	0.79417	0.0825	0.9344	0.9344
predicted_visual	-0.1285	0.89796	0.93806	-0.3811	0.70372	0.91868	0.3359	0.73745	0.79417	-0.6921	0.49001	0.68602
predicted_gustatory	0.1146	0.90891	0.93806	0.5033	0.6155	0.91868	-1.043	0.2987	0.79417	0.8759	0.38254	0.68602
predicted_olfactory	-0.1306	0.89628	0.93806	1.0972	0.2744	0.91868	-1.0857	0.27946	0.79417	1.1487	0.25261	0.68602
predicted_auditory	1.4674	0.14448	0.93806	0.3639	0.7165	0.91868	0.2106	0.8335	0.8335	0.6951	0.48814	0.68602
predicted_hand	-0.0778	0.93806	0.93806	-0.2437	0.80785	0.91868	0.6177	0.53777	0.79417	-0.8996	0.36984	0.68602
predicted_valence	0.5938	0.55359	0.93806	0.6764	0.49989	0.91868	-0.5191	0.60449	0.79417	1.6979	0.09173	0.64209
predicted_arousal	0.2653	0.79113	0.93806	0.0211	0.9832	0.9832	1.5243	0.12965	0.79417	-1.2761	0.204	0.68602
predicted_dominance	0.2797	0.78009	0.93806	0.1855	0.85306	0.91868	-1.278	0.20333	0.79417	1.6993	0.09146	0.64209
