variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.4861	1.3436	6.5417	1.7475	-0.2124	0.83213	0.83213	6.3056	1.5151	6.7222	1.5743	-1.6069	0.1103	0.30885
log10_word_frequency_sdewac	2.9835	0.4595	3.0209	0.6169	-0.4098	0.6826	0.7351	2.9986	0.5139	3.0059	0.573	-0.0802	0.93623	0.95236
word_average_bigram_frequency	25852137.7125	15955546.0747	23895524.8474	15906053.6917	0.7318	0.46551	0.67591	25143976.5133	16750355.0196	24603686.0465	15125336.7355	0.2017	0.84042	0.95236
word_average_trigram_frequency	2909047.3557	3973892.2391	2083698.7542	2408957.1303	1.4965	0.13673	0.31904	2780939.8283	3898143.5895	2211806.2815	2564763.9656	1.0277	0.30582	0.51244
old20_score	2.6118	0.6383	2.7576	0.8252	-1.1778	0.24083	0.42145	2.6285	0.7312	2.741	0.747	-0.9068	0.36603	0.51244
predicted_concreteness	1.4951	0.3302	1.5331	0.5817	-0.4785	0.63303	0.7351	1.4747	0.4778	1.5535	0.4655	-0.9945	0.32169	0.51244
predicted_visual	0.9075	0.9335	0.2222	1.0631	4.0814	7e-05	0.00052	0.6722	0.8791	0.4576	1.2002	1.2153	0.22625	0.51244
predicted_gustatory	0.4693	1.7021	-0.2368	0.7204	3.2192	0.00159	0.00558	0.1095	1.0571	0.1231	1.5962	-0.0598	0.95236	0.95236
predicted_olfactory	0.5907	1.6951	0.0689	0.8499	2.3188	0.02183	0.06114	0.6086	1.1064	0.0511	1.5337	2.4839	0.01416	0.0991
predicted_auditory	-1.2843	0.7474	0.9946	0.8432	-17.0423	0.0	0.0	-0.1192	1.2723	-0.1705	1.4987	0.22	0.82622	0.95236
predicted_hand	0.5571	1.3269	0.4044	1.2576	0.7037	0.48279	0.67591	-0.5518	0.5973	1.5133	0.9299	-15.7447	0.0	0.0
predicted_valence	0.3509	0.6934	0.3008	0.6819	0.4339	0.66501	0.7351	0.3802	0.6473	0.2715	0.7226	0.9443	0.34661	0.51244
predicted_arousal	-0.4529	1.0049	0.1639	1.0106	-3.6469	0.00037	0.00174	-0.2997	0.9601	0.0107	1.1186	-1.7747	0.0781	0.27333
predicted_dominance	0.2131	0.7052	0.0703	0.6428	1.261	0.20938	0.41877	0.0208	0.6127	0.2625	0.7184	-2.1565	0.03273	0.15275
