word	category
Bildnis	lowA_lowS
Kristall	lowA_lowS
Koralle	lowA_lowS
Veranda	lowA_lowS
Sumpf	lowA_lowS
Ziegel	lowA_lowS
Mahnmal	lowA_lowS
Mumie	lowA_lowS
Prärie	lowA_lowS
Krabbe	lowA_lowS
Tunnel	lowA_lowS
Kuppel	lowA_lowS
Krater	lowA_lowS
Lagune	lowA_lowS
Flocke	lowA_lowS
Steinweg	lowA_lowS
Stachel	lowA_lowS
Gebirge	lowA_lowS
Sockel	lowA_lowS
Schleim	lowA_lowS
Pfosten	lowA_lowS
Schnecke	lowA_lowS
Gitter	lowA_lowS
Tentakel	lowA_lowS
Gehöft	lowA_lowS
Sphinx	lowA_lowS
Skorpion	lowA_lowS
Marmor	lowA_lowS
Sensor	lowA_lowS
Moor	lowA_lowS
Sandbank	lowA_lowS
Zipfel	lowA_lowS
Seestern	lowA_lowS
Rebstock	lowA_lowS
Wolke	lowA_lowS
Molekül	lowA_lowS
Affe	lowA_highS
Gorilla	lowA_highS
Flieger	lowA_highS
Uhu	lowA_highS
Kröte	lowA_highS
Henne	lowA_highS
Büffel	lowA_highS
Turbine	lowA_highS
Amsel	lowA_highS
Triebwerk	lowA_highS
Staudamm	lowA_highS
Specht	lowA_highS
Rotor	lowA_highS
Düsenjet	lowA_highS
Panda	lowA_highS
Stadion	lowA_highS
Wasserfall	lowA_highS
Elch	lowA_highS
Gebläse	lowA_highS
Elefant	lowA_highS
Motor	lowA_highS
Saloon	lowA_highS
Straße	lowA_highS
Papagei	lowA_highS
Sirene	lowA_highS
Lawine	lowA_highS
Ziege	lowA_highS
Esel	lowA_highS
Kapelle	lowA_highS
Hamster	lowA_highS
Spatz	lowA_highS
Tornado	lowA_highS
Tiergarten	lowA_highS
Hyäne	lowA_highS
Brandung	lowA_highS
Tonband	lowA_highS
Haken	highA_lowS
Sattel	highA_lowS
Lupe	highA_lowS
Textilie	highA_lowS
Frisbee	highA_lowS
Skizze	highA_lowS
Magnet	highA_lowS
Lasche	highA_lowS
Schemel	highA_lowS
Stativ	highA_lowS
Kordel	highA_lowS
Bargeld	highA_lowS
Einrad	highA_lowS
Joghurt	highA_lowS
Paddel	highA_lowS
Banane	highA_lowS
Krücke	highA_lowS
Wickel	highA_lowS
Butter	highA_lowS
Sichel	highA_lowS
Tupfer	highA_lowS
Kartoffel	highA_lowS
Mikroskop	highA_lowS
Skalpell	highA_lowS
Strumpf	highA_lowS
Knopf	highA_lowS
Gurt	highA_lowS
Krokette	highA_lowS
Ausweis	highA_lowS
Paket	highA_lowS
Brot	highA_lowS
Peperoni	highA_lowS
Herd	highA_lowS
Anker	highA_lowS
Regal	highA_lowS
Waage	highA_lowS
Säugling	highA_highS
Geschütz	highA_highS
Cello	highA_highS
Trommel	highA_highS
Keyboard	highA_highS
Moped	highA_highS
Klavier	highA_highS
Banjo	highA_highS
Zapfhahn	highA_highS
Karussell	highA_highS
Tuba	highA_highS
Böller	highA_highS
Auto	highA_highS
Roller	highA_highS
Lagerfeuer	highA_highS
Rekorder	highA_highS
Klarinette	highA_highS
Kanone	highA_highS
Triangel	highA_highS
Hammer	highA_highS
Saite	highA_highS
Knarre	highA_highS
Saxophon	highA_highS
Pferd	highA_highS
Computer	highA_highS
Drucker	highA_highS
Schalter	highA_highS
Pistole	highA_highS
Hupe	highA_highS
Dusche	highA_highS
Geige	highA_highS
Gitarre	highA_highS
Mäher	highA_highS
Mixer	highA_highS
Seilzug	highA_highS
Trompete	highA_highS
