variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.3819	1.2472	6.5278	1.6871	-0.8312	0.40656	0.51744	6.3542	1.4408	6.5556	1.522	-1.1491	0.25148	0.58678
log10_word_frequency_sdewac	3.0205	0.5222	3.0572	0.6232	-0.5401	0.58953	0.68779	3.0395	0.4985	3.0382	0.6428	0.02	0.98405	0.98484
word_average_bigram_frequency	24787806.1834	16144178.0047	24580806.0375	16058463.1321	0.1087	0.91351	0.91351	25093400.6331	16639125.171	24275211.5878	15534958.7392	0.4298	0.66766	0.84975
word_average_trigram_frequency	2663514.1298	3622662.9337	2237245.4345	2483831.0627	1.1605	0.24681	0.43191	2605690.1517	3203492.6681	2295069.4126	3012199.8743	0.8447	0.39897	0.62062
old20_score	2.5764	0.6446	2.7566	0.8055	-2.0888	0.03761	0.07623	2.6219	0.674	2.7111	0.7889	-1.0284	0.30461	0.60922
predicted_concreteness	1.5408	0.3485	1.5295	0.5794	0.1997	0.84185	0.9066	1.5095	0.479	1.5608	0.4758	-0.9084	0.36441	0.62062
predicted_visual	0.895	0.8631	0.2244	1.0658	5.8469	0.0	0.0	0.7053	0.8506	0.414	1.1575	2.4246	0.01594	0.06486
predicted_gustatory	0.4983	1.794	-0.2175	0.7542	4.3983	2e-05	5e-05	0.0387	0.9395	0.242	1.7721	-1.2121	0.22647	0.58678
predicted_olfactory	0.5991	1.6005	0.1511	0.8627	2.9464	0.00348	0.00974	0.5561	0.9867	0.1941	1.5385	2.3684	0.01853	0.06486
predicted_auditory	-1.1965	0.6619	1.0064	0.7919	-25.5236	0.0	0.0	-0.0936	1.1789	-0.0965	1.4497	0.019	0.98484	0.98484
predicted_hand	0.5539	1.2904	0.3962	1.1995	1.071	0.28509	0.44249	-0.5115	0.6399	1.4616	0.8719	-21.8172	0.0	0.0
predicted_valence	0.4064	0.7452	0.3209	0.6928	1.0043	0.31607	0.44249	0.3561	0.6874	0.3713	0.7526	-0.1782	0.85872	0.98484
predicted_arousal	-0.4569	0.9652	0.191	1.0047	-5.5616	0.0	0.0	-0.1731	1.0547	-0.0928	1.0175	-0.6552	0.51284	0.71798
predicted_dominance	0.2525	0.7906	0.0659	0.7222	2.0833	0.03811	0.07623	-0.0497	0.7241	0.3681	0.7432	-4.8146	0.0	2e-05
