variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.8958	0.7837	6.9583	1.0696	-0.4594	0.64646	0.69619	6.9688	0.918	6.8854	0.956	0.6128	0.54073	0.88626
log10_word_frequency_sdewac	2.8956	0.5006	3.0493	0.614	-1.8907	0.06019	0.10533	2.9728	0.4911	2.9721	0.6311	0.008	0.99359	0.99359
word_average_bigram_frequency	27216954.3754	16295943.4241	25077382.9872	16255836.599	0.906	0.36608	0.51252	26293337.292	17272359.8121	26001000.0706	15287960.442	0.1235	0.90182	0.97119
word_average_trigram_frequency	2749966.5371	2580014.9554	2515439.3429	3139004.3458	0.5626	0.57438	0.69619	2732406.2792	2743950.4818	2532999.6008	2998029.5524	0.4782	0.63304	0.88626
old20_score	6.8958	0.7837	6.9583	1.0696	-0.4594	0.64646	0.69619	6.9688	0.918	6.8854	0.956	0.6128	0.54073	0.88626
predicted_concreteness	1.4367	0.3906	1.4199	0.4511	0.2738	0.78457	0.78457	1.374	0.3758	1.4826	0.4573	-1.7875	0.07545	0.26406
predicted_visual	0.9395	0.8217	0.2932	0.9494	5.0168	0.0	1e-05	0.6815	0.8566	0.5513	1.0214	0.9516	0.34249	0.79914
predicted_gustatory	0.5645	1.662	-0.2717	0.7887	4.4299	2e-05	6e-05	0.1697	1.1698	0.1231	1.5376	0.2355	0.81409	0.96302
predicted_olfactory	0.6836	1.5429	-0.0063	0.8272	3.8406	0.00017	0.00047	0.5594	1.1306	0.1179	1.3882	2.4033	0.01721	0.0803
predicted_auditory	-1.2583	0.6118	0.9796	0.7677	-22.2196	0.0	0.0	-0.087	1.2532	-0.1916	1.3755	0.548	0.58431	0.88626
predicted_hand	0.5944	1.2612	0.4256	1.1816	0.9516	0.34251	0.51252	-0.5278	0.512	1.5478	0.7646	-21.9857	0.0	0.0
predicted_valence	0.4263	0.7508	0.2207	0.6346	2.0382	0.04292	0.08583	0.245	0.6768	0.4019	0.7191	-1.5487	0.12312	0.34472
predicted_arousal	-0.5087	1.1082	0.1763	0.981	-4.5109	1e-05	5e-05	-0.1486	1.1112	-0.1839	1.0907	0.2208	0.82545	0.96302
predicted_dominance	0.2763	0.8132	0.0008	0.636	2.6006	0.01004	0.02342	-0.1542	0.6452	0.4313	0.7184	-5.9107	0.0	0.0
