variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.7143	1.1554	6.6726	1.6312	0.2694	0.78781	0.78781	6.7143	1.3369	6.6726	1.486	0.2694	0.78781	0.94896
log10_word_frequency_sdewac	2.9861	0.5142	3.0048	0.6275	-0.2979	0.76597	0.78781	3.0145	0.5289	2.9764	0.6146	0.6077	0.5438	0.94896
word_average_bigram_frequency	26206104.1549	16087126.8647	25166531.9937	16296974.0181	0.5867	0.55783	0.70996	26207432.4888	16743819.9283	25165203.6598	15621419.3269	0.5882	0.55682	0.94896
word_average_trigram_frequency	2572847.1241	2801514.6514	2292400.5	2686167.9304	0.9338	0.3511	0.50174	2437161.8049	2318237.1463	2428085.8192	3119141.3872	0.0302	0.97594	0.97594
old20_score	6.7143	1.1554	6.6726	1.6312	0.2694	0.78781	0.78781	6.7143	1.3369	6.6726	1.486	0.2694	0.78781	0.94896
predicted_concreteness	1.557	0.3679	1.6085	0.6231	-0.9197	0.35839	0.50174	1.5567	0.5104	1.6087	0.513	-0.9278	0.35418	0.82641
predicted_visual	0.966	0.8504	0.2621	1.0396	6.773	0.0	0.0	0.7728	0.9203	0.4554	1.0745	2.8997	0.00398	0.01858
predicted_gustatory	0.5592	1.8207	-0.2298	0.8174	5.1088	0.0	0.0	0.0815	1.0453	0.248	1.7854	-1.0402	0.29899	0.82641
predicted_olfactory	0.5886	1.6235	0.149	0.9043	3.057	0.00242	0.00677	0.5397	1.046	0.1979	1.5484	2.3637	0.01867	0.06533
predicted_auditory	-1.2359	0.6712	1.0397	0.8077	-28.0022	0.0	0.0	-0.0944	1.2471	-0.1019	1.4617	0.0502	0.95996	0.97594
predicted_hand	0.5776	1.2439	0.4304	1.2763	1.0675	0.28652	0.50174	-0.475	0.642	1.483	0.9263	-22.4508	0.0	0.0
predicted_valence	0.3929	0.7781	0.3139	0.6878	0.9834	0.32612	0.50174	0.3629	0.6956	0.3439	0.773	0.2362	0.8134	0.94896
predicted_arousal	-0.3613	1.0116	0.1712	0.9716	-4.9062	0.0	1e-05	-0.1118	1.062	-0.0783	0.9903	-0.2977	0.76612	0.94896
predicted_dominance	0.2236	0.7878	0.0603	0.6954	2.0087	0.04537	0.10587	-0.0582	0.7087	0.3421	0.7315	-5.0794	0.0	0.0
