variable	low_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_correctedlow_action_avg_zscore	high_action_std	action_T	action_p	action_p_corrected
word_length	6.9312	1.0436	7.025	1.7246	-0.5864	0.55799	0.60092	7.0188	1.3941	6.9375	1.4564	0.5082	0.61168	0.81964
log10_word_frequency_sdewac	2.9716	0.452	2.9715	0.5687	0.0016	0.9987	0.9987	2.987	0.5021	2.9561	0.5245	0.5367	0.59186	0.81964
word_average_bigram_frequency	27103948.7275	16577952.0861	25605088.9361	16534380.8496	0.8072	0.42015	0.58821	26704145.5473	17482137.0956	26004892.1163	15603459.2534	0.3763	0.70696	0.81964
word_average_trigram_frequency	2904958.7004	3103663.4382	2365807.6351	2733859.3268	1.6437	0.10122	0.17714	2708126.1731	2830932.2043	2562640.1624	3037646.3351	0.4418	0.65893	0.81964
old20_score	6.9312	1.0436	7.025	1.7246	-0.5864	0.55799	0.60092	7.0188	1.3941	6.9375	1.4564	0.5082	0.61168	0.81964
predicted_concreteness	1.5531	0.3679	1.4748	0.452	1.6946	0.09113	0.17714	1.4208	0.3743	1.6071	0.4304	-4.1194	5e-05	0.00023
predicted_visual	1.0107	0.8659	0.3872	0.936	6.1661	0.0	0.0	0.7852	0.8699	0.6127	1.0241	1.6189	0.10646	0.29809
predicted_gustatory	0.5563	1.8126	-0.1766	0.8263	4.639	1e-05	2e-05	0.1794	1.0782	0.2003	1.7534	-0.128	0.8982	0.8982
predicted_olfactory	0.6903	1.6693	0.1473	0.8954	3.6144	0.00035	0.00098	0.6239	1.0764	0.2138	1.579	2.7058	0.00718	0.02513
predicted_auditory	-1.2914	0.5046	0.9052	0.6807	-32.689	0.0	0.0	-0.1718	1.1891	-0.2145	1.3098	0.3043	0.76109	0.81964
predicted_hand	0.6339	1.1448	0.5368	1.2571	0.7206	0.47169	0.60033	-0.476	0.5132	1.6467	0.6159	-33.3886	0.0	0.0
predicted_valence	0.3662	0.8274	0.2638	0.6872	1.2005	0.23084	0.35909	0.3409	0.7603	0.2891	0.7634	0.6063	0.54476	0.81964
predicted_arousal	-0.5182	0.9467	0.1799	0.934	-6.619	0.0	0.0	-0.1907	1.0284	-0.1475	0.9766	-0.3847	0.70072	0.81964
predicted_dominance	0.2463	0.8203	0.0537	0.6806	2.2775	0.02342	0.05464	-0.0467	0.7432	0.3468	0.7245	-4.7809	0.0	2e-05
