word	good_or_bad?	comment
Markstein	x	y
Volumen	x	y
Flecken	x	y
Profil	x	y
Süßware	x	y
Küstenlinie	x	y
Regenrinne	x	y
Lehm	x	y
Membrane	x	y
Sonnenmilch	x	y
Geißel	x	y
Olive	x	y
Bachstraße	x	y
Curry	x	y
Schnauzbart	x	y
Grenadier	x	y
Ziegelhausen	x	y
Harnblase	x	y
Bootshaus	x	y
Topas	x	y
Sandwich	x	y
Planetarium	x	y
Orange	x	y
Vorraum	x	y
Hotel	x	y
Atom	x	y
Trüffel	x	y
Haar	x	y
Spinnentier	x	y
Floß	x	y
Kies	x	y
Sonnenstich	x	y
Dreieck	x	y
Pappel	x	y
Hofgarten	x	y
Fangzahn	x	y
Villa	x	y
Hochhaus	x	y
Trikot	x	y
Router	x	y
Luftröhre	x	y
Lyoner	x	y
Atoll	x	y
Zapfen	x	y
Anorak	x	y
Hausboot	x	y
Kirchhof	x	y
Werkhalle	x	y
Verdickung	x	y
Honigtau	x	y
Mauer	x	y
Linse	x	y
Siedlerin	x	y
Rückleuchte	x	y
Saum	x	y
Gebirge	x	y
Porree	x	y
Fell	x	y
Heidelbeere	x	y
Anatom	x	y
Nasenflügel	x	y
Aquarium	x	y
Rachen	x	y
Sirup	x	y
Rinne	x	y
Lidschatten	x	y
Weintraube	x	y
Haubitze	x	y
Lämmchen	x	y
Uterus	x	y
Viertel	x	y
Koloß	x	y
Scheidewand	x	y
Stachelbeere	x	y
Schindel	x	y
Schirm	x	y
Schuppe	x	y
Phalanx	x	y
Soda	x	y
Pinie	x	y
Fresko	x	y
Weißdorn	x	y
Raumfahrzeug	x	y
Knospe	x	y
Bauchfell	x	y
Felsbrocken	x	y
Schlupfloch	x	y
Nasenbluten	x	y
Blondschopf	x	y
Feuerball	x	y
Nektar	x	y
Lunge	x	y
Eintopf	x	y
Buschland	x	y
Trockenmauer	x	y
Grüne	x	y
Dahlie	x	y
Dicke	x	y
Klecks	x	y
Pool	x	y
Brauhaus	x	y
Augenoptiker	x	y
Petroleum	x	y
Schafgarbe	x	y
Möhre	x	y
Häuserblock	x	y
Trankopfer	x	y
Bauch	x	y
Warze	x	y
Agave	x	y
Sombrero	x	y
Sonnentau	x	y
Treppenhaus	x	y
Schiffswrack	x	y
Eierlikör	x	y
Büste	x	y
Drehgestell	x	y
Wildbret	x	y
Matterhorn	x	y
Graben	x	y
Buchweizen	x	y
Akazie	x	y
Goldene	x	y
Brustwarze	x	y
Hafen	x	y
Medaillon	x	y
Rouge	x	y
Gabelung	x	y
Horoskop	x	y
Rollbahn	x	y
Halm	x	y
Imbiß	x	y
Asche	x	y
Beton	x	y
Limonade	x	y
Gewächshaus	x	y
Bazar	x	y
Siegel	x	y
Bungalow	x	y
Auster	x	y
Wasserlassen	x	y
Vesuv	x	y
Vinaigrette	x	y
Spalt	x	y
Hornhaut	x	y
Basilikum	x	y
Schellfisch	x	y
Stirnlampe	x	y
Küchlein	x	y
Schilf	x	y
Armenviertel	x	y
Heroin	x	y
Beiwagen	x	y
Aufdruck	x	y
Casino	x	y
Karawane	x	y
Löwenzahn	x	y
Rezeptur	x	y
