word	good_or_bad?
Montieren	x
Möbelstück	x
Paddel	x
Planzen	x
Kniescheibe	x
Aufhängen	x
Schrubber	x
Schnur	x
Manschette	x
Papier	x
Hosentasche	x
Kicks	x
Sitzfläche	x
Bolzen	x
Schuhwerk	x
Befestigen	x
Weben	x
Befeuchtung	x
Fußmatte	x
Daumen	x
Fingerkuppe	x
Kochgeschirr	x
Keilriemen	x
Bettwäsche	x
Handgelenk	x
Fußgelenk	x
Handkarren	x
Handgriff	x
Textilie	x
Tätowieren	x
Abrollen	x
Schaft	x
Knetmasse	x
Bekleidung	x
Leder	x
Fußknöchel	x
Brosche	x
Rasieren	x
Steigeisen	x
Schnalle	x
Kettchen	x
Tisch	x
Bleistift	x
Schraubstock	x
Stickerei	x
Kleidung	x
Schneebesen	x
Fingernagel	x
Spülkasten	x
Einrad	x
Kissen	x
Haken	x
Tischdecke	x
Hand	x
Schere	x
Säbel	x
Notizblock	x
Fausthieb	x
Halterung	x
Griff	x
Drehbank	x
Handtasche	x
Handfläche	x
Stichsäge	x
Kleben	x
Knie	x
Trocknen	x
Bürste	x
Taschentuch	x
Besteck	x
Riemen	x
Zange	x
Wäsche	x
Lauffläche	x
Messer	x
Karabiner	x
Kneten	x
Strick	x
Schnittgut	x
Bügel	x
Handschuh	x
Schlitten	x
Faltenwurf	x
Ball	x
Anfertigen	x
Radiergummi	x
Deckel	x
Satteltasche	x
Hacke	x
Sticken	x
Flicken	x
Lidschlag	x
Schränkchen	x
Geschirr	x
Segeltuch	x
Garn	x
Schuhkarton	x
Pinzette	x
Bettzeug	x
Gestell	x
Gurt	x
Zaumzeug	x
Klebstoff	x
Bügeleisen	x
Arbeitsgang	x
Tischtuch	x
Spitzhacke	x
Textile	x
Sandpapier	x
Polsterung	x
Webstuhl	x
Fixieren	x
Werkstück	x
Bein	x
Hantel	x
Accessoire	x
Möbel	x
Strickjacke	x
Beutel	x
Maniküre	x
Tablett	x
Verrutschen	x
Ellbogen	x
Vorhängen	x
Wickel	x
Karton	x
Bindfaden	x
Schreibfeder	x
Utensil	x
Kelle	x
Rucksack	x
Liegestütze	x
Schnürsenkel	x
Oberschenkel	x
Tragetuch	x
Widerhaken	x
Waschen	x
Befestigung	x
Unterarm	x
Beschlag	x
Tragekomfort	x
Unterlage	x
Stange	x
Tasche	x
Knobeln	x
Ballen	x
