word	good_or_bad?	comment
Lächeln	x	y
Biograf	x	y
Psychiater	x	y
Mitarbeiter	x	y
Regisseur	x	y
Flugplatz	x	y
Kompagnon	x	y
Theologe	x	y
Videotext	x	y
Notarztwagen	x	y
Antifaschist	x	y
Ohr	x	y
Unterhändler	x	y
Troubadour	x	y
Kommandeur	x	y
Dämpfer	x	y
Hai	x	y
Randale	x	y
Kundschafter	x	y
Kröte	x	y
Torwächter	x	y
Passantin	x	y
Airplane	x	y
Flughafen	x	y
Baby	x	y
Patin	x	y
Wachturm	x	y
Wolf	x	y
Meise	x	y
Sprecher	x	y
Mischpult	x	y
Känguruh	x	y
Kondensator	x	y
Bariton	x	y
Assassine	x	y
Sinto	x	y
Synagoge	x	y
Hotelier	x	y
Großvater	x	y
Blaupunkt	x	y
Triebwerk	x	y
Säufer	x	y
Tonleiter	x	y
Antilope	x	y
Flieger	x	y
Singvogel	x	y
Wasserwerk	x	y
Spaßmacher	x	y
Theater	x	y
Tarantel	x	y
Rezitator	x	y
Zehnkämpfer	x	y
Soldat	x	y
Schweinchen	x	y
Spitzbube	x	y
Pauker	x	y
Saloon	x	y
Steigflug	x	y
Holzbläser	x	y
Anrufer	x	y
Schwalbe	x	y
Strauß	x	y
Tick	x	y
Telefax	x	y
Rebhuhn	x	y
Kloß	x	y
Wald	x	y
Kapelle	x	y
Schauspieler	x	y
Taube	x	y
Funktionär	x	y
Wächter	x	y
Reiher	x	y
Spatz	x	y
Haushalter	x	y
Seismologe	x	y
Staudamm	x	y
Bus	x	y
Wurm	x	y
Molch	x	y
Häuptling	x	y
Muff	x	y
Nashorn	x	y
Radiator	x	y
Telegraph	x	y
Entertainer	x	y
Mühle	x	y
Tierarzt	x	y
Boxer	x	y
Nachbarin	x	y
Trommler	x	y
Dickschädel	x	y
Söhnchen	x	y
Memorandum	x	y
Mitschnitt	x	y
Maskottchen	x	y
Kai	x	y
Gondel	x	y
Baumwipfel	x	y
Jaguar	x	y
Panda	x	y
Gegenspieler	x	y
Hund	x	y
Haselmaus	x	y
Zaunkönig	x	y
Waschbär	x	y
BMW	x	y
Übersetzer	x	y
Wahlkämpfer	x	y
Revolverheld	x	y
Teilnehmer	x	y
Kaff	x	y
Kopfgeld	x	y
Menschenaffe	x	y
Wilddieb	x	y
Blumfeld	x	y
Abflug	x	y
Buchstabe	x	y
Fernsprecher	x	y
Rüffel	x	y
Marder	x	y
Magier	x	y
Weißwurst	x	y
Diakon	x	y
Fuhrleute	x	y
Kielwasser	x	y
Zeichentrick	x	y
Lebenslauf	x	y
Schreihals	x	y
Sänger	x	y
Kapitän	x	y
Hamster	x	y
Hinweis	x	y
Kommissarin	x	y
Tiger	x	y
Motor	x	y
Fischadler	x	y
Dschunke	x	y
Kerzenschein	x	y
Telegraf	x	y
Ehemann	x	y
Hubschrauber	x	y
Biber	x	y
Metronom	x	y
Theoretiker	x	y
Text	x	y
Gendarm	x	y
Liederhalle	x	y
Journalistin	x	y
Gewinnerin	x	y
Aufschrei	x	y
Flamingo	x	y
Schmierfink	x	y
Legierung	x	y
Beamter	x	y
Musikbox	x	y
Radiologe	x	y
Musiker	x	y
Sprechchor	x	y
Anwalt	x	y
Fährte	x	y
Trompeter	x	y
Propeller	x	y
Produzent	x	y
Häuflein	x	y
Funktelefon	x	y
Schächter	x	y
Autor	x	y
Zeitung	x	y
Glossar	x	y
Karatschi	x	y
Reporterin	x	y
Vogel	x	y
Kommissar	x	y
Schwall	x	y
Fassung	x	y
Stadtführer	x	y
Eunuch	x	y
Gründer	x	y
Posaunist	x	y
Redner	x	y
Krankenwagen	x	y
Meerjungfrau	x	y
Schule	x	y
Sandburg	x	y
Leseratte	x	y
Brandung	x	y
Schlagzeile	x	y
Mercedes	x	y
Reh	x	y
Laternenmast	x	y
Recorder	x	y
Schulgebäude	x	y
Leitartikel	x	y
Vater	x	y
Extremist	x	y
Wirtin	x	y
Sitzplatz	x	y
Ventil	x	y
Kleiber	x	y
Uhu	x	y
Autobus	x	y
Bericht	x	y
Blitz	x	y
Leiter	x	y
Staatsanwalt	x	y
Bär	x	y
Tölpel	x	y
Wiegenlied	x	y
Luftstrom	x	y
Zweig	x	y
Klaps	x	y
Klingelton	x	y
Pierrot	x	y
Feuervogel	x	y
Ratte	x	y
Silo	x	y
Hahnenschrei	x	y
Kaffer	x	y
Steinbruch	x	y
Spruch	x	y
Turm	x	y
Mägdlein	x	y
Türsteher	x	y
Wiesel	x	y
Bombenleger	x	y
Feuerschein	x	y
Kettenhund	x	y
Autofahrerin	x	y
Gerichtssaal	x	y
Enkelsohn	x	y
Videoband	x	y
Schuljunge	x	y
Politiker	x	y
Kommentar	x	y
Hyäne	x	y
Telephon	x	y
Gitarrist	x	y
Popo	x	y
Kalb	x	y
Kuckuck	x	y
Kurier	x	y
Artgenosse	x	y
Marinesoldat	x	y
Eisvogel	x	y
Nachtklub	x	y
Wärter	x	y
Feuersturm	x	y
Anwohnerin	x	y
Schafhirt	x	y
Vierzylinder	x	y
Funke	x	y
Mitbewohner	x	y
Hof	x	y
Senator	x	y
Kommentator	x	y
Aula	x	y
Nieselregen	x	y
Schlachthof	x	y
Kehlkopf	x	y
Zecher	x	y
Kätzchen	x	y
Idol	x	y
Begleiter	x	y
Volkswagen	x	y
Sprachrohr	x	y
Cockpit	x	y
Teufel	x	y
Erdmännchen	x	y
Seeräuber	x	y
Schlucker	x	y
Chauffeur	x	y
Insasse	x	y
Feuer	x	y
Volkswirt	x	y
Affe	x	y
Depp	x	y
Gaukler	x	y
Esel	x	y
Werbeanzeige	x	y
Robbe	x	y
Bandkollege	x	y
Brutstätte	x	y
Specht	x	y
Schwein	x	y
Enkelkind	x	y
Flugsaurier	x	y
Kinderarzt	x	y
Schauplatz	x	y
Vogelmann	x	y
Gewinner	x	y
Späher	x	y
Sitzungssaal	x	y
Hirte	x	y
Jackpot	x	y
Anbeter	x	y
Schulleiter	x	y
Zaungast	x	y
Langstrumpf	x	y
Tiergarten	x	y
Augenzeugin	x	y
Lemming	x	y
Kreisverkehr	x	y
Aufzug	x	y
Gastwirt	x	y
Klarinettist	x	y
Zweisitzer	x	y
Ochse	x	y
Superhirn	x	y
Lautsprecher	x	y
Pirat	x	y
Köchin	x	y
Schulhaus	x	y
Arzt	x	y
Megaphon	x	y
Mandarin	x	y
Kompressor	x	y
Funkgerät	x	y
Schrifttafel	x	y
Krachen	x	y
Kellner	x	y
Steppenwolf	x	y
Kavalier	x	y
Protest	x	y
Trafo	x	y
Autokolonne	x	y
Astrologe	x	y
Schlingel	x	y
Rabe	x	y
Bergleute	x	y
Schneesturm	x	y
Schrift	x	y
Rock	x	y
Lehrerin	x	y
Radio	x	y
Kolibri	x	y
Elefant	x	y
Wortlaut	x	y
Dickkopf	x	y
Sägemühle	x	y
Pfiff	x	y
Dachs	x	y
Würdenträger	x	y
Kämmerchen	x	y
Rabauke	x	y
Woge	x	y
Flugzeug	x	y
Feuerstätte	x	y
Cousin	x	y
Zerstörer	x	y
Todesschütze	x	y
Glotze	x	y
Kommunist	x	y
Trinker	x	y
Brecher	x	y
Wachtmeister	x	y
Väterchen	x	y
Dolmetscher	x	y
Trupp	x	y
Papagei	x	y
Tornado	x	y
Automat	x	y
Diener	x	y
Sprecherin	x	y
Geysir	x	y
Dienerin	x	y
Tür	x	y
Tonband	x	y
Eisbrecher	x	y
Detektor	x	y
Gemurmel	x	y
Sporthalle	x	y
Heuschrecke	x	y
Phantom	x	y
Irrläufer	x	y
Neonazi	x	y
Satellit	x	y
Würger	x	y
Abschrift	x	y
Pädiater	x	y
Absolvent	x	y
Jingle	x	y
Bauer	x	y
Komiker	x	y
Renault	x	y
Attentäter	x	y
Schützer	x	y
Murmeltier	x	y
Koordinator	x	y
Schlitzohr	x	y
Oberst	x	y
Pförtner	x	y
Inspirator	x	y
Kumpel	x	y
Interview	x	y
Schwan	x	y
Steinmetz	x	y
Sprichwort	x	y
Pauke	x	y
Kerl	x	y
Chefkoch	x	y
Zwischenfall	x	y
Flug	x	y
Chamäleon	x	y
Mutter	x	y
Eule	x	y
Düsenjet	x	y
Dickhäuter	x	y
Gala	x	y
Musikant	x	y
Kälbchen	x	y
Grille	x	y
Höhle	x	y
Nebel	x	y
Leibwächter	x	y
Romanautor	x	y
Panther	x	y
Lümmel	x	y
Idiot	x	y
Pastor	x	y
Taxi	x	y
Ameisenbär	x	y
Kanonenboot	x	y
Besetzer	x	y
Eber	x	y
Diplomat	x	y
Sender	x	y
Punker	x	y
Verleger	x	y
Stockente	x	y
Samariter	x	y
Küster	x	y
Henne	x	y
Luft	x	y
Untertasse	x	y
General	x	y
Marktplatz	x	y
Eisbär	x	y
Offizier	x	y
Lockvogel	x	y
Feldwebel	x	y
Schlächter	x	y
Fist	x	y
Spielstätte	x	y
Auslöser	x	y
Dinosaurier	x	y
Rotkehlchen	x	y
Vergaser	x	y
Badegast	x	y
Sohn	x	y
Automobil	x	y
Turmfalke	x	y
Igel	x	y
Lehrer	x	y
Berserker	x	y
Sperling	x	y
Park	x	y
Frosch	x	y
Wasserfall	x	y
Bankier	x	y
Schmierer	x	y
Pkw	x	y
Moderatorin	x	y
Ton	x	y
Transistor	x	y
Minister	x	y
Schwur	x	y
Tänzchen	x	y
Besucherin	x	y
Kanzlerin	x	y
Kabine	x	y
Kranich	x	y
Interpol	x	y
Interpret	x	y
Ohrwurm	x	y
Straße	x	y
Showmaster	x	y
Fernsehgerät	x	y
Lied	x	y
Feuerwerker	x	y
Pampa	x	y
Helikopter	x	y
Zauberer	x	y
Paragraf	x	y
Freund	x	y
Kolonne	x	y
Mauersegler	x	y
Fluggast	x	y
Sirene	x	y
Nachbar	x	y
Lastwagen	x	y
Deserteur	x	y
Passagier	x	y
Augenzeuge	x	y
Kamerad	x	y
Tohuwabohu	x	y
Spielort	x	y
Liederbuch	x	y
Schafstall	x	y
Heide	x	y
Kneipe	x	y
Raubtier	x	y
Ente	x	y
Matrose	x	y
Trinkspruch	x	y
Staatsmann	x	y
Auditorium	x	y
AT&T	x	y
Osterglocke	x	y
Wetterfrosch	x	y
Schreiberin	x	y
Wicht	x	y
Beter	x	y
Wirt	x	y
Anna	x	y
Violinist	x	y
Boy	x	y
Ferkel	x	y
Werbespot	x	y
Saal	x	y
Stadion	x	y
Web	x	y
Monolog	x	y
Code	x	y
Mafioso	x	y
Autorin	x	y
Slogan	x	y
Schimpanse	x	y
Häscher	x	y
Auszug	x	y
Gewehrfeuer	x	y
Auerochse	x	y
Opa	x	y
Fahrer	x	y
Switch	x	y
Pilot	x	y
Landsknecht	x	y
Rancher	x	y
Psalmist	x	y
Säuger	x	y
Schulkamerad	x	y
Säugetier	x	y
Werbetafel	x	y
Songtext	x	y
Verfasser	x	y
Schrei	x	y
Mama	x	y
Fiedel	x	y
Trauergast	x	y
Terrorist	x	y
Ohrenschmalz	x	y
Drohn	x	y
Leitartikler	x	y
Busch	x	y
Grunzen	x	y
Eichelhäher	x	y
Kleinbus	x	y
Türe	x	y
Clown	x	y
Elch	x	y
Hooligan	x	y
Lüftchen	x	y
Mäuschen	x	y
Säger	x	y
Arena	x	y
Zeugin	x	y
Bühnenautor	x	y
Hahn	x	y
Sandmännchen	x	y
Ferrari	x	y
Aufseher	x	y
Schacht	x	y
Bruder	x	y
Waidmann	x	y
Supertanker	x	y
Wiedehopf	x	y
Milizionär	x	y
Projektor	x	y
Alphabet	x	y
Journalist	x	y
Meilenstein	x	y
Version	x	y
Gezwitscher	x	y
Wahrzeichen	x	y
Veteran	x	y
Truthahn	x	y
Autograph	x	y
Blues	x	y
Wirbelwind	x	y
Kennerin	x	y
Taucher	x	y
Otter	x	y
Maulwurf	x	y
Buchautor	x	y
Schluck	x	y
Wachtel	x	y
