old	rating_old	new
Einhorn	mid	lowA_lowS
Schweif	mid	lowA_lowS
Mahnmal	good	lowA_lowS
Molekül	good	lowA_lowS
Thymian	mid	lowA_lowS
Pfosten	good	lowA_lowS
Asphalt	mid	lowA_lowS
Marmor	good	lowA_lowS
Verdeck	mid	lowA_lowS
Vorhof	mid	lowA_lowS
Flecken	mid	lowA_lowS
Porträt	good	lowA_lowS
Falter	good	lowA_lowS
Abhang	good	lowA_lowS
Zement	mid	lowA_lowS
Kristall	good	lowA_lowS
Pollen	good	lowA_lowS
Pappel	good	lowA_lowS
Sphinx	good	lowA_lowS
Gitter	good	lowA_lowS
Schilf	good	lowA_lowS
Schwefel	good	lowA_lowS
Lavendel	mid	lowA_lowS
Staude	mid	lowA_lowS
Schuppe	good	lowA_lowS
Kastanie	mid	lowA_lowS
Natter	bad	lowA_lowS
Giraffe	good	lowA_lowS
Pulver	mid	lowA_lowS
Planet	good	lowA_lowS
Flagge	bad	lowA_lowS
Ziegel	good	lowA_lowS
Flocke	good	lowA_lowS
Diagramm	bad	lowA_lowS
Visier	mid	lowA_lowS
Aufdruck	good	lowA_lowS
Schnecke	good	lowA_lowS
Mumie	good	lowA_lowS
Seestern	good	lowA_lowS
Gecko	good	lowA_lowS
Dunst	good	lowA_lowS
Minze	mid	lowA_lowS
Rinne	good	lowA_lowS
Palast	good	lowA_lowS
Moor	good	lowA_lowS
Sumpf	good	lowA_lowS
Knolle	mid	lowA_lowS
Fels	good	lowA_lowS
Asche	good	lowA_lowS
Steinweg	good	lowA_lowS
Eiche	good	lowA_lowS
Wolke	good	lowA_lowS
Statue	good	lowA_lowS
Sandbank	good	lowA_lowS
Düne	good	lowA_lowS
Quartier	mid	lowA_lowS
Borke	good	lowA_lowS
Tentakel	good	lowA_lowS
Rebstock	good	lowA_lowS
Lamm	mid	lowA_lowS
Skorpion	good	lowA_lowS
Erdhügel	good	lowA_lowS
Eidechse	good	lowA_lowS
Satellit	good	lowA_lowS
Zimmer	mid	lowA_lowS
Scheinwerfer	good	lowA_lowS
Schatzkammer	good	lowA_lowS
Schutzhütte	good	lowA_lowS
Felsgestein	good	lowA_lowS
Rückleuchte	good	lowA_lowS
Miesmuschel	good	lowA_lowS
Kaulquappe	good	lowA_lowS
Fliegenpilz	good	lowA_lowS
Blütenstaub	good	lowA_lowS
Zahnrad	mid	highA_lowS
Krümel	good	highA_lowS
Schlinge	mid	highA_lowS
Kandare	mid	highA_lowS
Diskette	mid	highA_lowS
Futter	mid	highA_lowS
Schlaufe	good	highA_lowS
Peperoni	good	highA_lowS
Krokette	good	highA_lowS
Tabak	good	highA_lowS
Filet	mid	highA_lowS
Tandem	good	highA_lowS
Scheck	good	highA_lowS
Magnet	good	highA_lowS
Gurt	good	highA_lowS
Kamm	good	highA_lowS
Kajak	good	highA_lowS
Paket	good	highA_lowS
Lupe	good	highA_lowS
Flyer	good	highA_lowS
Wiege	mid	highA_lowS
Atlas	mid	highA_lowS
Jeans	good	highA_lowS
Brot	good	highA_lowS
Zahnspange	good	highA_lowS
Mikroskop	good	highA_lowS
Folie	mid	highA_lowS
Herd	good	highA_lowS
Hamster	good	lowA_highS
Sperling	mid	lowA_highS
Marder	mid	lowA_highS
Schwan	mid	lowA_highS
Lüftung	good	lowA_highS
Gebläse	good	lowA_highS
Flugzeug	mid	lowA_highS
Schwalbe	mid	lowA_highS
Frosch	good	lowA_highS
Meise	good	lowA_highS
Drossel	mid	lowA_highS
Rotor	good	lowA_highS
Zaunkönig	mid	lowA_highS
Dohle	mid	lowA_highS
Schaf	good	lowA_highS
Singvogel	mid	lowA_highS
Helikopter	good	lowA_highS
Wasserfall	good	lowA_highS
Tiergarten	good	lowA_highS
Affe	good	lowA_highS
Uhu	good	lowA_highS
Esel	good	lowA_highS
Ente	good	lowA_highS
Schimpanse	good	lowA_highS
Kondensator	good	lowA_highS
Eule	good	lowA_highS
Aula	good	lowA_highS
Feuersturm	good	lowA_highS
Rabe	good	lowA_highS
Wal	good	lowA_highS
Nachtlokal	mid	lowA_highS
Transistor	good	lowA_highS
Möwe	good	lowA_highS
Park	good	lowA_highS
Wischer	mid	highA_highS
Granate	good	highA_highS
Blinker	good	highA_highS
Klöppel	mid	highA_highS
Schalter	good	highA_highS
Schaukel	mid	highA_highS
Rakete	good	highA_highS
Kanone	good	highA_highS
Gewehr	good	highA_highS
Mörser	mid	highA_highS
Revolver	good	highA_highS
Pfeife	good	highA_highS
Blech	good	highA_highS
Wippe	mid	highA_highS
Klaviatur	good	highA_highS
Mikrofon	good	highA_highS
Kran	mid	highA_highS
Banjo	good	highA_highS
Tuba	good	highA_highS
Schlagzeug	good	highA_highS
Lagerfeuer	good	highA_highS
Mäher	good	highA_highS
Hupe	good	highA_highS
Auto	good	highA_highS
Kontrabass	good	highA_highS
Klarinette	good	highA_highS
Blasebalg	mid	highA_highS
Taktstock	good	highA_highS
Kettensäge	good	highA_highS
Dampfwalze	good	highA_highS
Blockflöte	good	highA_highS
Motorsäge	mid	highA_highS
