variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.8698	1.2027	7.1302	2.1357	-1.4683	0.14283	0.23936	7.0781	1.8369	6.9219	1.6295	0.8794	0.37973	0.66452
log10_word_frequency_sdewac	2.9071	0.5348	2.9849	0.6516	-1.2739	0.20347	0.28485	2.9772	0.5731	2.9148	0.6192	1.0237	0.30664	0.66452
word_average_bigram_frequency	26452053.6103	15950812.3879	25178038.8873	16562559.0766	0.7657	0.44432	0.50445	25841951.6827	16868666.2517	25788140.815	15652635.1405	0.0323	0.97424	0.98268
word_average_trigram_frequency	2562256.0254	2355464.1139	2266414.6261	2628208.0653	1.1585	0.24739	0.31486	2411556.1624	2414584.1663	2417114.4891	2582482.8653	-0.0217	0.98268	0.98268
old20_score	6.8698	1.2027	7.1302	2.1357	-1.4683	0.14283	0.23936	7.0781	1.8369	6.9219	1.6295	0.8794	0.37973	0.66452
predicted_concreteness	1.496	0.449	1.4889	0.4506	0.1547	0.87716	0.87716	1.4607	0.3768	1.5241	0.5106	-1.3805	0.16824	0.47107
predicted_visual	0.961	0.8805	0.3735	1.0235	6.0135	0.0	0.0	0.7604	0.8229	0.5741	1.1406	1.8302	0.06799	0.23797
predicted_gustatory	0.521	1.6586	-0.2101	0.7586	5.5404	0.0	0.0	0.1466	0.9981	0.1643	1.6116	-0.1294	0.89711	0.98268
predicted_olfactory	0.5856	1.4669	0.1546	0.8506	3.5124	0.0005	0.00139	0.5793	0.9802	0.1609	1.3855	3.4074	0.00073	0.00339
predicted_auditory	-1.2384	0.6657	0.9539	0.7549	-30.1027	0.0	0.0	-0.1113	1.2156	-0.1732	1.3917	0.4629	0.64372	0.90121
predicted_hand	0.657	1.4396	0.4547	1.3253	1.4288	0.15388	0.23936	-0.592	0.5545	1.7037	0.9522	-28.7928	0.0	0.0
predicted_valence	0.3199	0.8308	0.2617	0.7328	0.7258	0.46842	0.50445	0.3163	0.7883	0.2653	0.7786	0.6362	0.52506	0.81676
predicted_arousal	-0.4088	0.9641	0.1435	0.8958	-5.8002	0.0	0.0	-0.1456	0.9562	-0.1198	0.9847	-0.2595	0.79537	0.98268
predicted_dominance	0.2021	0.886	0.0225	0.7012	2.197	0.02862	0.06678	-0.1256	0.7609	0.3502	0.7751	-6.0533	0.0	0.0
