word	en_google_translation	predicted_concreteness	predicted_visual	predicted_haptic	predicted_gustatory	predicted_olfactory	predicted_auditory	predicted_hand	predicted_leg	predicted_head	predicted_mouth	predicted_torso	predicted_valence	predicted_arousal	predicted_dominance	en_concreteness	en_visual	en_haptic	en_gustatory	en_olfactory	en_auditory	en_hand	en_leg	en_head	en_mouth	en_torso	en_valence	en_arousal	en_dominance	
Wohnung	apartment	1.5	1.449	1.098	-0.635	1.577	-0.931	1.247	1.37	0.582	-1.378	1.35	0.138365269956945	-1.4515147453896817	0.5321170829158367	4.9	4.222222222	1.888888889	0.222222222	1.166666667	0.555555556	2.090909091	1.772727273	3.136363636	1.227272727	1.5	5.72	3.8	5.33	
Teil	part	0.885	0.38	0.797	0.515	-0.315	-0.425	0.598	0.442	-0.912	-0.015	0.656	0.39927289762284146	-0.7053663441279312	0.7561621871674934	3.29	3.5	1.666666667	0.333333333	0.333333333	1.444444444	1.952380952	0.80952381	2.095238095	0.666666667	0.523809524	4.77	3.36	5.21	
Stadt	city	1.398	1.002	-0.096	-0.479	0.95	-0.075	-0.7	0.317	-0.467	-0.712	-0.308	0.7859968914847006	0.28355383973778986	0.34316537671029107	4.79	4.529411765	1.882352941	0.823529412	2.588235294	4.117647059	1.85	2.3	3.4	1.2	1.25	6.12	5.08	5.04	
Stock	floor	1.453	0.907	0.689	-0.372	0.462	-0.45	0.336	0.334	-1.121	-0.867	-0.124	0.16163291391661577	-1.1269216351819016	0.08652171064521731	4.8	4.19047619	3.857142857	0.0	0.238095238	1.0	0.80952381	3.380952381	1.19047619	0.19047619	0.380952381	5.14	3.33	6.39	
Wohnhaus	residential building	1.961	1.242	-0.455	0.205	1.125	-1.203	-0.343	-0.289	-0.423	-1.561	-1.069	-0.3777066781027363	-2.584928306402162	-0.14309841374311383	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Kaffee	coffee	2.259	0.093	1.808	5.75	4.891	-0.291	1.373	-0.987	-0.208	3.724	-0.064	1.952027902562407	-0.5741044952050063	1.9412450506223629	4.81	4.0	1.722222222	4.611111111	4.277777778	1.0	2.0	0.19047619	2.142857143	4.095238095	1.285714286	7.0	5.1	6.12	
Wohnungstür	apartment door	2.135	1.985	0.667	-1.283	0.298	-0.687	0.514	0.511	0.024	-1.602	0.345	-0.6030926207933637	-1.0977157557244341	-0.3297003028558527	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Lichtjahr	light year	0.803	1.791	-1.395	-0.316	0.154	-1.853	-1.851	-1.28	1.032	-1.585	-1.456	0.4534134092151833	-0.5843473729398589	-0.2771289580737195	na	na	na	na	na	na	na	na	na	na	na	na	na	na	
Alte	old	-1.039	-0.584	-0.864	0.25	1.448	0.008	-1.602	-0.519	0.226	-0.651	-0.52	0.210934609894579	-0.21795992845561313	-0.18506939750827642	2.72	3.35	1.5	1.1	1.1	1.85	2.045454545	1.954545455	3.772727273	1.954545455	2.045454545	3.19	4.48	4.22	
Burg	castle	0.229	0.143	-0.642	-0.516	-0.502	-0.201	-0.761	-0.4	-0.368	-0.368	-0.634	-0.5478978459853879	-0.4189820988131988	-0.6151179874193015	4.96	4.7	1.55	0.0	0.15	0.5	0.842105263	0.736842105	1.526315789	0.315789474	0.157894737	6.42	4.72	6.35	
Tag	day	0.37	0.442	0.042	0.84	0.732	0.343	0.418	1.37	0.689	0.391	1.491	1.6033949668017515	0.6358185421484277	1.2305169335877024	3.92	4.210526316	0.789473684	0.263157895	0.684210526	1.263157895	1.333333333	1.333333333	2.444444444	1.222222222	1.222222222	6.36	3.62	5.59	
Wolke	cloud	1.256	1.243	-0.34	-1.25	0.227	-0.749	-1.175	-0.164	0.823	-1.369	0.279	1.2780177538112483	1.006206469023272	-0.07358858250128357	4.54	4.9	0.35	0.0	0.15	0.0	0.363636364	0.318181818	2.909090909	0.363636364	0.227272727	6.2	2.81	4.79	
Rand	edge	1.305	2.522	1.93	0.035	-0.262	-1.337	0.79	-0.696	-0.479	-0.924	-1.196	-0.4596487956260309	-0.7380780388017093	-0.4516602833395544	4.24	4.25	3.1875	0.3125	0.1875	0.9375	1.565217391	1.043478261	1.52173913	0.347826087	0.391304348	4.43	4.65	4.31	
Hals	neck	2.251	-0.062	2.962	-1.26	-1.315	-0.727	0.733	-1.182	-1.066	-0.938	0.352	-1.0530492715830515	0.11823843773460088	-0.8063779220011073	5.0	3.933333333	3.533333333	0.266666667	0.6	0.333333333	0.7	0.0	3.9	1.45	0.75	5.44	3.65	5.17	
