word	animate_prototypicality	natural_prototypicality	inanimate_prototypicality	innatural_prototypicality	
Wohnung	0.30725	0.33141	0.44982	0.47087	
Teil	0.2422	0.28648	0.37111	0.37357	
Stadt	0.25226	0.29139	0.33357	0.3265	
Stock	0.39577	0.4335	0.51988	0.52539	
Wohnhaus	0.20857	0.24264	0.30972	0.31211	
Kaffee	0.33605	0.47164	0.51995	0.46968	
Wohnungstür	0.36851	0.37571	0.50409	0.53559	
Lichtjahr	0.33069	0.33521	0.32152	0.31459	
Alte	0.34947	0.40084	0.43361	0.41795	
Burg	0.23122	0.26107	0.32382	0.32687	
Tag	0.34725	0.38398	0.43763	0.43459	
Wolke	0.40217	0.43252	0.46367	0.45712	
Rand	0.25299	0.32347	0.4222	0.41645	
Hals	0.45036	0.43909	0.50563	0.52811	
Mensch	0.48235	0.44021	0.41055	0.42029	
Himmel	0.35957	0.42106	0.46347	0.44579	
Schatten	0.33396	0.41217	0.44159	0.41261	
Leichtigkeit	0.29805	0.34086	0.45027	0.46019	
Stimmung	0.20647	0.25877	0.40542	0.42166	
Wort	0.36676	0.42009	0.45038	0.43305	
Kopf	0.49399	0.47486	0.51436	0.53278	
Pfarrer	0.21514	0.22614	0.26074	0.26469	
Erinnerung	0.28956	0.34439	0.4169	0.41095	
Weg	0.28779	0.33333	0.41226	0.4124	
Haus	0.35019	0.38224	0.44921	0.45206	
Vater	0.34224	0.34831	0.37427	0.37768	
Mund	0.42031	0.44584	0.53355	0.54502	
Schrift	0.24806	0.27579	0.32357	0.32336	
Papier	0.25455	0.33631	0.49249	0.4976	
Lehm	0.19801	0.30402	0.36632	0.33408	
Mauer	0.31912	0.38312	0.45685	0.4469	
Stein	0.35999	0.42472	0.5007	0.49091	
Hitze	0.31731	0.40546	0.45832	0.43135	
Ohr	0.42433	0.43315	0.50769	0.5232	
Faktum	0.24105	0.25507	0.32442	0.33662	
Ereignis	0.23064	0.25865	0.31935	0.32269	
Zeitung	0.32426	0.35735	0.40814	0.40605	
Information	0.27214	0.30259	0.3599	0.36103	
Kunde	0.32011	0.34339	0.41246	0.42005	
Laune	0.37037	0.42714	0.49833	0.49086	
Geld	0.32726	0.36749	0.47967	0.49146	
Telefonat	0.3045	0.32818	0.4268	0.44252	
Wucht	0.29007	0.3221	0.44549	0.46433	
Gefühl	0.26244	0.30999	0.42708	0.43705	
Aufprall	0.3004	0.34931	0.44982	0.45442	
Sitz	0.1824	0.19254	0.26985	0.28626	
Gestalt	0.42458	0.40357	0.38944	0.39393	
Wunde	0.33884	0.4055	0.48071	0.46988	
Pfeil	0.47668	0.48412	0.47992	0.47385	
Gesicht	0.4622	0.46354	0.50063	0.50899	
Schönheit	0.35993	0.4137	0.40039	0.37067	
Wurst	0.43616	0.50161	0.54333	0.52338	
Stück	0.41317	0.44436	0.53519	0.54493	
Brot	0.36413	0.45067	0.51135	0.48718	
Stellung	0.2514	0.24763	0.31309	0.33241	
Nummer	0.28781	0.3169	0.3875	0.39293	
Wüste	0.33739	0.36746	0.34909	0.329	
Blick	0.29461	0.32774	0.37641	0.37381	
Wut	0.36903	0.41064	0.46326	0.45761	
Bauch	0.51313	0.50022	0.49811	0.50194	
Promenade	0.26878	0.33476	0.39094	0.3753	
Strand	0.31497	0.39811	0.42413	0.39196	
Verzweiflung	0.37099	0.41564	0.49414	0.49433	
Ursprung	0.33512	0.36471	0.35208	0.33384	
Tier	0.62464	0.57413	0.46412	0.4548	
Zahl	0.25323	0.25465	0.2798	0.28541	
Leben	0.31749	0.31685	0.28705	0.27803	
Acht	0.29095	0.32785	0.38684	0.3854	
Zeichen	0.27355	0.30354	0.38291	0.39042	
Neubeginn	0.25797	0.29575	0.36473	0.36577	
