word	animate_prototypicality	natural_prototypicality	inanimate_prototypicality	innatural_prototypicality	
Wohnung	0.30725499898920394	0.3314079198242601	0.44982089384152424	0.4708673528131866	
Teil	0.24220433054418444	0.28647561675516786	0.3711063167148778	0.3735745295804178	
Stadt	0.25225998676614125	0.29138774820167235	0.333566243663699	0.32649612549018614	
Stock	0.395769086559258	0.43350448061297064	0.5198751855971544	0.525390189174215	
Wohnhaus	0.20856966489101647	0.24263567531772057	0.3097233011018816	0.31210562197325875	
Kaffee	0.33605398132983577	0.471643049530569	0.5199535114517443	0.4696845199240789	
Wohnungstür	0.36851019418275976	0.37570887069912273	0.5040895660970421	0.5355912781162449	
Lichtjahr	0.3306890944107037	0.3352138586281199	0.32152456631307347	0.3145908970301273	
Alte	0.3494688461145543	0.40083847514036886	0.43361419823833536	0.417947354893083	
Burg	0.23122210502686125	0.2610693986011584	0.32381928250728764	0.3268712009219379	
Tag	0.3472502935658257	0.3839835579474957	0.43763002391212114	0.434591648521932	
Wolke	0.4021694681398651	0.4325208391534754	0.46366806112536607	0.4571164484356015	
Rand	0.2529879240109787	0.32347057409493707	0.42219993792777577	0.4164480159593471	
Hals	0.4503643176202009	0.4390949402918989	0.505626177495265	0.5281082180055344	
Mensch	0.48234656137810794	0.44020913574000553	0.4105543341896982	0.42029309156614847	
Himmel	0.3595689131780275	0.42106379637427405	0.4634742008475865	0.4457869776921297	
Schatten	0.3339582041536926	0.41216709127681805	0.44159331247765676	0.41260896039265416	
Leichtigkeit	0.29805268623110126	0.3408599112677906	0.45027486590709564	0.4601923480063751	
Stimmung	0.20647348633233453	0.2587676081212893	0.4054237827804188	0.42165694360618455	
Wort	0.36676397709332054	0.4200898963258618	0.4503763175630312	0.4330540000000397	
Kopf	0.4939904259823885	0.4748597088189781	0.5143641982201237	0.5327843217629737	
Pfarrer	0.21513740014455096	0.22613916414731294	0.2607429332401743	0.2646865645286087	
Erinnerung	0.2895644762795445	0.34438684367145256	0.41690004985317664	0.4109455572823254	
Weg	0.28779277096224654	0.3333323284294296	0.41225617200862863	0.4124003758375083	
Haus	0.35019108220663697	0.3822425645406393	0.4492085442341731	0.45205917994875344	
Vater	0.3422392907894296	0.3483121746154947	0.3742665364776858	0.37768365039758844	
Mund	0.4203108410222811	0.4458356032042601	0.533549692488784	0.5450198731001049	
Schrift	0.24805772147531424	0.2757879376318696	0.3235697250999401	0.32335870499964425	
Papier	0.2545491171765212	0.3363108245596984	0.49248944580885	0.49759990047275804	
Lehm	0.19800753828928985	0.3040203892917682	0.36631809168954754	0.3340796532693877	
Mauer	0.3191182090906718	0.3831154393875056	0.4568486716038552	0.44689809600015984	
Stein	0.35999207961427726	0.4247162311582917	0.5006955474064416	0.4909132460232566	
Hitze	0.3173104019456148	0.4054638054455165	0.4583225738252661	0.43134705242502436	
Ohr	0.4243309857748955	0.43315042106420254	0.5076941615301994	0.5231981839805718	
Faktum	0.2410469395071102	0.25507310726196786	0.32442348230238727	0.33661926930760244	
Ereignis	0.2306361336729722	0.25864721552916015	0.3193537326676146	0.3226853292500911	
Zeitung	0.3242580895994781	0.35735450139285985	0.40813532424386423	0.4060481212002167	
Information	0.27213759490403944	0.30258891638644914	0.35990467092223655	0.36103070487503197	
Kunde	0.3201099409388223	0.3433946979021326	0.4124645318287652	0.42005477633883637	
Laune	0.3703688110994495	0.4271406590265686	0.49832923950329644	0.4908556219300131	
Geld	0.32725921976277894	0.3674928822382266	0.4796694773292245	0.49146319825149143	
Telefonat	0.3045022525136789	0.3281846089799465	0.426795359150381	0.44252221429137284	
Wucht	0.29006718360832495	0.32210456435870394	0.4454927855569897	0.4643343436328492	
Gefühl	0.26243915737260626	0.30998828348102136	0.4270757780255451	0.43705476144094046	
Aufprall	0.3003991455756705	0.3493050635445971	0.4498226384018045	0.4544174827955585	
Sitz	0.18240290936991854	0.1925403008671287	0.2698534406222921	0.28625799510701777	
Gestalt	0.42458451436845746	0.40357133475853835	0.389443045567614	0.39392517732305343	
Wunde	0.33884073868530684	0.4055039476453288	0.48071465361817856	0.46988358298774247	
Pfeil	0.4766829968068832	0.4841178686008889	0.47991539908447134	0.4738476139965804	
Gesicht	0.4621983341116003	0.4635441771485388	0.5006329423730828	0.5089924751659355	
Schönheit	0.3599269636759135	0.4136998425687166	0.4003855568388063	0.3706661946446237	
Wurst	0.4361607705911641	0.5016076142788222	0.543327386430084	0.5233842477306554	
Stück	0.41317209721887815	0.44435533749129663	0.535188964794871	0.5449346253064326	
Brot	0.36413168523708106	0.45067098506923753	0.5113548214400252	0.48717585470421154	
Stellung	0.25139569882728807	0.24762653568686577	0.3130911532395537	0.3324064794252237	
Nummer	0.2878148196084007	0.3169026012470806	0.3875019491135929	0.3929318863429848	
Wüste	0.3373901207015144	0.3674555840011755	0.3490884129034799	0.32899894612084046	
Blick	0.2946089204744896	0.32773766857598075	0.3764124633695842	0.3738105658498023	
Wut	0.36902546693669835	0.4106355333433481	0.4632561923040317	0.45760640103131944	
Bauch	0.513126054608622	0.5002236167167128	0.49811409977029397	0.5019379037381131	
Promenade	0.2687773219461972	0.3347633576393282	0.3909360102633015	0.3752995464531066	
Strand	0.31496763798471794	0.39811249843262986	0.4241309764216963	0.3919645979127957	
Verzweiflung	0.3709936050152133	0.41564289172733226	0.4941418955616086	0.49432649216819025	
Ursprung	0.33512420103845053	0.3647061382051573	0.35208463474554685	0.33383506604154756	
Tier	0.6246436190628257	0.5741298700902917	0.4641170477973102	0.4547964609707065	
Zahl	0.2532277685661426	0.2546535076318148	0.27979807568580795	0.2854105033390282	
Leben	0.3174916540349002	0.3168548787246319	0.28704894571963313	0.2780315216945136	
Acht	0.290954297597384	0.3278480060236477	0.38684321121378007	0.38539959188384443	
Zeichen	0.27354776839179573	0.3035360027381442	0.38291091846132586	0.3904249976530826	
Neubeginn	0.2579732524122129	0.2957531938079665	0.3647316126697602	0.36577380006102544	
Baumeister	0.2645989748409425	0.2818854756821314	0.29134248765306947	0.2851833504182347	
Stammgast	0.38245574728614706	0.41506263925747144	0.4145100144034741	0.39809609395975654	
Wiedereröffnung	0.21852905159819636	0.2555462546225743	0.30641976249373915	0.3028644683537759	
Ungeduld	0.3323893033817975	0.369194765818045	0.41392580860450345	0.40840229693399976	
Zahn	0.36198978164953677	0.38424176771187524	0.4343654685722089	0.43700054441968417	
Falke	0.578973116553166	0.49321362549974856	0.36377958494099416	0.3654774173257309	
Becher	0.29812802768483904	0.36966549933374715	0.4864921040264818	0.4851829729221515	
Rest	0.2842308027613245	0.3234243136998187	0.40138402660010786	0.40420725730911455	
