word	category
Rebstock	lowA_lowS
Qualle	lowA_lowS
Dromedar	lowA_lowS
Molekül	lowA_lowS
Quartier	lowA_lowS
Pappel	lowA_lowS
Planet	lowA_lowS
Sensor	lowA_lowS
Zapfen	lowA_lowS
Flecken	lowA_lowS
Prärie	lowA_lowS
Oktopus	lowA_lowS
Zisterne	lowA_lowS
Pollen	lowA_lowS
Kastanie	lowA_lowS
Eidechse	lowA_lowS
Kajüte	lowA_lowS
Stachel	lowA_lowS
Pulver	lowA_lowS
Giraffe	lowA_lowS
Pfosten	lowA_lowS
Sphinx	lowA_lowS
Abhang	lowA_lowS
Verdeck	lowA_lowS
Krabbe	lowA_lowS
Vordach	lowA_lowS
Mahnmal	lowA_lowS
Schilf	lowA_lowS
Statue	lowA_lowS
Pfeiler	lowA_lowS
Diagramm	lowA_lowS
Koralle	lowA_lowS
Thymian	lowA_lowS
Schlamm	lowA_lowS
Lavendel	lowA_lowS
Flocke	lowA_lowS
Hyäne	lowA_highS
Schwalbe	lowA_highS
Grille	lowA_highS
Kakadu	lowA_highS
Wald	lowA_highS
Geläut	lowA_highS
Park	lowA_highS
Brandung	lowA_highS
Schimpanse	lowA_highS
Lüftung	lowA_highS
Lawine	lowA_highS
Wolf	lowA_highS
Drossel	lowA_highS
Eule	lowA_highS
Flughafen	lowA_highS
Getriebe	lowA_highS
Jaguar	lowA_highS
Propeller	lowA_highS
Zirkus	lowA_highS
Büffel	lowA_highS
Wal	lowA_highS
Möwe	lowA_highS
Straße	lowA_highS
Kondensator	lowA_highS
Taube	lowA_highS
Düsenjet	lowA_highS
Meise	lowA_highS
Ziege	lowA_highS
Marder	lowA_highS
Hummel	lowA_highS
Papagei	lowA_highS
Frosch	lowA_highS
Saloon	lowA_highS
Gorilla	lowA_highS
Hamster	lowA_highS
Henne	lowA_highS
Mango	highA_lowS
Aubergine	highA_lowS
Schlaufe	highA_lowS
Spaghetti	highA_lowS
Paket	highA_lowS
Zügel	highA_lowS
Scheck	highA_lowS
Krücke	highA_lowS
Ranzen	highA_lowS
Ausweis	highA_lowS
Haken	highA_lowS
Krone	highA_lowS
Knauf	highA_lowS
Filet	highA_lowS
Sichel	highA_lowS
Skizze	highA_lowS
Umschlag	highA_lowS
Himbeere	highA_lowS
Prothese	highA_lowS
Kartoffel	highA_lowS
Schlinge	highA_lowS
Futter	highA_lowS
Anker	highA_lowS
Lasche	highA_lowS
Gurt	highA_lowS
Maultasche	highA_lowS
Toast	highA_lowS
Krokette	highA_lowS
Seil	highA_lowS
Jeans	highA_lowS
Hacke	highA_lowS
Zeichnung	highA_lowS
Tandem	highA_lowS
Zwetschge	highA_lowS
Tabak	highA_lowS
Lineal	highA_lowS
Posaune	highA_highS
Drucker	highA_highS
Besen	highA_highS
Meißel	highA_highS
Dampfwalze	highA_highS
Rekorder	highA_highS
Kontrabass	highA_highS
Blockflöte	highA_highS
Motorrad	highA_highS
Fagott	highA_highS
Pistole	highA_highS
Tuba	highA_highS
Baby	highA_highS
Roller	highA_highS
Wippe	highA_highS
Akkordeon	highA_highS
Granate	highA_highS
Rassel	highA_highS
Keyboard	highA_highS
Dudelsack	highA_highS
Tastatur	highA_highS
Gitarre	highA_highS
Mixer	highA_highS
Schleuder	highA_highS
Geschütz	highA_highS
Auto	highA_highS
Klavier	highA_highS
Motorsäge	highA_highS
Geige	highA_highS
Trommel	highA_highS
Karussell	highA_highS
Kanone	highA_highS
Schalter	highA_highS
Trampolin	highA_highS
Kettensäge	highA_highS
Rakete	highA_highS
