variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.625	1.3064	6.7361	1.8257	-0.417	0.67728	0.79015	6.5417	1.3838	6.8194	1.7585	-1.046	0.29735	0.69266
log10_word_frequency_sdewac	2.9472	0.5993	3.0704	0.6375	-1.1864	0.23744	0.36935	3.0045	0.5986	3.0131	0.6441	-0.0819	0.93481	0.93481
word_average_bigram_frequency	26372305.3457	15020140.5763	23138229.7572	15524840.3447	1.2615	0.20919	0.36608	24122934.3272	15150429.3396	25387600.7757	15540904.5208	-0.491	0.62419	0.87387
word_average_trigram_frequency	3023762.0029	3437118.1039	2309792.5692	2631873.3444	1.3897	0.1668	0.36608	2362025.4444	2566763.5478	2971529.1276	3495910.7336	-1.1842	0.23832	0.6673
old20_score	2.7215	0.7843	2.8792	1.024	-1.0298	0.30484	0.42677	2.7417	0.7385	2.859	1.0601	-0.7654	0.44528	0.69266
predicted_concreteness	1.4924	0.4413	1.5091	0.6419	-0.18	0.85742	0.85742	1.4876	0.5456	1.5139	0.5558	-0.284	0.77683	0.9063
predicted_visual	0.8673	0.8468	0.2204	1.1275	3.8651	0.00017	0.00079	0.7383	0.8873	0.3494	1.1553	2.2491	0.02605	0.12156
predicted_gustatory	0.7937	1.9941	-0.3228	0.7559	4.4112	2e-05	0.00014	0.1242	1.1356	0.3467	1.9639	-0.8264	0.40995	0.69266
predicted_olfactory	0.8043	1.8141	0.0496	0.7793	3.2206	0.00159	0.00444	0.6549	1.1319	0.199	1.6727	1.902	0.0592	0.20721
predicted_auditory	-1.182	0.6283	1.0756	0.8301	-18.2734	0.0	0.0	-0.0628	1.2023	-0.0436	1.4787	-0.0849	0.93244	0.93481
predicted_hand	0.4788	1.1529	0.4163	1.4018	0.2905	0.77182	0.83119	-0.4647	0.6572	1.3598	1.0954	-12.0342	0.0	0.0
predicted_valence	0.3978	0.7746	0.3058	0.7548	0.7172	0.47445	0.60385	0.3744	0.7115	0.3292	0.8165	0.3518	0.7255	0.9063
predicted_arousal	-0.343	0.901	0.189	0.9055	-3.5094	0.0006	0.00211	-0.14	0.9747	-0.014	0.9029	-0.7995	0.42533	0.69266
predicted_dominance	0.2173	0.7807	0.0443	0.7759	1.3247	0.18739	0.36608	-0.0374	0.731	0.299	0.7973	-2.6208	0.00973	0.06808
